Time(s),CH4V
-3.450000e-03,4.736000e-01
-3.400000e-03,2.645333e-01
-3.350000e-03,3.992000e-01
-3.300000e-03,4.920000e-01
-3.250000e-03,2.738667e-01
-3.200000e-03,4.456000e-01
-3.150000e-03,4.688000e-01
-3.100000e-03,3.434667e-01
-3.050000e-03,2.226667e-01
-3.000000e-03,4.829333e-01
-2.950000e-03,3.898667e-01
-2.900000e-03,3.296000e-01
-2.850000e-03,4.362667e-01
-2.800000e-03,4.456000e-01
-2.750000e-03,5.896000e-01
-2.700000e-03,2.877333e-01
-2.650000e-03,4.362667e-01
-2.600000e-03,4.504000e-01
-2.550000e-03,4.920000e-01
-2.500000e-03,6.128000e-01
-2.450000e-03,3.296000e-01
-2.400000e-03,6.778667e-01
-2.350000e-03,4.362667e-01
-2.300000e-03,4.272000e-01
-2.250000e-03,3.760000e-01
-2.200000e-03,3.666667e-01
-2.150000e-03,3.528000e-01
-2.100000e-03,4.362667e-01
-2.050000e-03,4.597333e-01
-2.000000e-03,4.688000e-01
-1.950000e-03,3.528000e-01
-1.900000e-03,4.362667e-01
-1.850000e-03,4.874667e-01
-1.800000e-03,3.666667e-01
-1.750000e-03,3.434667e-01
-1.700000e-03,5.896000e-01
-1.650000e-03,3.154667e-01
-1.600000e-03,3.296000e-01
-1.550000e-03,3.434667e-01
-1.500000e-03,5.293334e-01
-1.450000e-03,3.389333e-01
-1.400000e-03,5.432000e-01
-1.350000e-03,4.597333e-01
-1.300000e-03,5.154667e-01
-1.250000e-03,4.968000e-01
-1.200000e-03,4.597333e-01
-1.150000e-03,3.341333e-01
-1.100000e-03,3.621333e-01
-1.050000e-03,2.829333e-01
-1.000000e-03,4.736000e-01
-9.500000e-04,4.504000e-01
-9.000000e-04,4.504000e-01
-8.500000e-04,3.992000e-01
-8.000000e-04,4.504000e-01
-7.500000e-04,3.296000e-01
-7.000000e-04,5.293334e-01
-6.500000e-04,4.178667e-01
-6.000000e-04,5.480000e-01
-5.500000e-04,4.968000e-01
-5.000000e-04,3.296000e-01
-4.500000e-04,4.130667e-01
-4.000000e-04,5.245333e-01
-3.500000e-04,2.552000e-01
-3.000000e-04,3.434667e-01
-2.500000e-04,5.896000e-01
-2.000000e-04,7.010667e-01
-1.500000e-04,4.456000e-01
-1.000000e-04,5.989333e-01
-5.000000e-05,4.037333e-01
2.900241e-18,4.504000e-01
5.000000e-05,9.904533e+00
1.000000e-04,9.853601e+00
1.500000e-04,9.830133e+00
2.000000e-04,9.853601e+00
2.500000e-04,9.858133e+00
3.000000e-04,9.839467e+00
3.500000e-04,9.844267e+00
4.000000e-04,9.839467e+00
4.500000e-04,1.008107e+01
5.000000e-04,8.673333e+00
5.500000e-04,7.224000e+00
6.000000e-04,6.568800e+00
6.500000e-04,5.035733e+00
7.000000e-04,4.487467e+00
7.500000e-04,3.005600e+00
8.000000e-04,2.935733e+00
8.500000e-04,2.369067e+00
9.000000e-04,2.285333e+00
9.500000e-04,1.839467e+00
1.000000e-03,1.662933e+00
1.050000e-03,1.212267e+00
1.100000e-03,8.962667e-01
1.150000e-03,7.661334e-01
1.200000e-03,6.546667e-01
1.250000e-03,6.965333e-01
1.300000e-03,8.034667e-01
1.350000e-03,5.013334e-01
1.400000e-03,5.154667e-01
1.450000e-03,7.570667e-01
1.500000e-03,3.064000e-01
1.550000e-03,5.664000e-01
1.600000e-03,7.709333e-01
1.650000e-03,6.872000e-01
1.700000e-03,4.130667e-01
1.750000e-03,5.618667e-01
1.800000e-03,4.362667e-01
1.850000e-03,4.597333e-01
1.900000e-03,4.642667e-01
1.950000e-03,4.362667e-01
2.000000e-03,3.109334e-01
2.050000e-03,4.037333e-01
2.100000e-03,4.829333e-01
2.150000e-03,3.760000e-01
2.200000e-03,3.946667e-01
2.250000e-03,5.106667e-01
2.300000e-03,5.570667e-01
2.350000e-03,4.272000e-01
2.400000e-03,4.224000e-01
2.450000e-03,3.805333e-01
2.500000e-03,4.549333e-01
2.550000e-03,4.037333e-01
2.600000e-03,4.504000e-01
2.650000e-03,5.525333e-01
2.700000e-03,3.621333e-01
2.750000e-03,4.642667e-01
2.800000e-03,6.128000e-01
2.850000e-03,3.805333e-01
2.900000e-03,3.341333e-01
2.950000e-03,3.389333e-01
3.000000e-03,2.458667e-01
3.050000e-03,2.645333e-01
3.100000e-03,6.362666e-01
3.150000e-03,3.573333e-01
3.200000e-03,3.480000e-01
3.250000e-03,4.224000e-01
3.300000e-03,4.549333e-01
3.350000e-03,4.178667e-01
3.400000e-03,4.085333e-01
3.450000e-03,5.757334e-01
3.500000e-03,4.829333e-01
3.550000e-03,5.757334e-01
3.600000e-03,5.061333e-01
3.650000e-03,3.760000e-01
3.700000e-03,4.362667e-01
3.750000e-03,3.528000e-01
3.800000e-03,4.456000e-01
3.850000e-03,6.362666e-01
3.900000e-03,5.200000e-01
3.950000e-03,5.061333e-01
4.000000e-03,4.736000e-01
4.050000e-03,4.736000e-01
4.100000e-03,3.712000e-01
4.150000e-03,4.224000e-01
4.200000e-03,3.016000e-01
4.250000e-03,4.920000e-01
4.300000e-03,4.224000e-01
4.350000e-03,3.760000e-01
4.400000e-03,5.525333e-01
4.450000e-03,4.549333e-01
4.500000e-03,2.597333e-01
4.550000e-03,2.645333e-01
4.600000e-03,2.784000e-01
4.650000e-03,3.109334e-01
4.700000e-03,3.573333e-01
4.750000e-03,4.317333e-01
4.800000e-03,4.362667e-01
4.850000e-03,3.853333e-01
4.900000e-03,3.666667e-01
4.950000e-03,6.685333e-01
5.000000e-03,3.853333e-01
5.050000e-03,3.760000e-01
5.100000e-03,2.970667e-01
5.150000e-03,4.968000e-01
5.200000e-03,2.040000e-01
5.250000e-03,2.365333e-01
5.300000e-03,3.992000e-01
5.350000e-03,4.504000e-01
5.400000e-03,3.805333e-01
5.450000e-03,2.320000e-01
5.500000e-03,5.013334e-01
5.550000e-03,3.992000e-01
5.600000e-03,5.570667e-01
5.650000e-03,3.341333e-01
5.700000e-03,4.037333e-01
5.750000e-03,4.642667e-01
5.800000e-03,4.317333e-01
5.850000e-03,4.968000e-01
5.900000e-03,4.688000e-01
5.950000e-03,3.992000e-01
6.000000e-03,2.552000e-01
6.050000e-03,4.688000e-01
6.100000e-03,5.432000e-01
6.150000e-03,2.877333e-01
6.200000e-03,2.645333e-01
6.250000e-03,8.218667e-01
6.300000e-03,4.130667e-01
6.350000e-03,4.317333e-01
6.400000e-03,4.224000e-01
6.450000e-03,6.176000e-01
6.500000e-03,6.314667e-01
6.550000e-03,3.154667e-01
6.600000e-03,6.082667e-01
6.650000e-03,5.338666e-01
6.700000e-03,5.293334e-01
6.750000e-03,2.645333e-01
6.800000e-03,4.130667e-01
6.850000e-03,5.664000e-01
6.900000e-03,3.666667e-01
6.950000e-03,4.178667e-01
7.000000e-03,4.224000e-01
7.050000e-03,4.362667e-01
7.100000e-03,3.573333e-01
7.150000e-03,6.128000e-01
7.200000e-03,4.410667e-01
7.250000e-03,6.733333e-01
7.300000e-03,3.992000e-01
7.350000e-03,4.504000e-01
7.400000e-03,2.690667e-01
7.450000e-03,4.362667e-01
7.500000e-03,4.736000e-01
7.550000e-03,4.317333e-01
7.600000e-03,5.154667e-01
7.650000e-03,3.202667e-01
7.700000e-03,4.224000e-01
7.750000e-03,4.130667e-01
7.800000e-03,3.480000e-01
7.850000e-03,3.434667e-01
7.900000e-03,3.064000e-01
7.950000e-03,3.434667e-01
8.000000e-03,3.109334e-01
8.050000e-03,3.666667e-01
8.100000e-03,3.154667e-01
8.150000e-03,4.829333e-01
8.200000e-03,4.549333e-01
8.250000e-03,4.968000e-01
8.300000e-03,4.968000e-01
8.350000e-03,4.037333e-01
8.400000e-03,3.992000e-01
8.450000e-03,2.645333e-01
8.500000e-03,5.896000e-01
8.550000e-03,3.434667e-01
8.600000e-03,5.338666e-01
8.650000e-03,4.968000e-01
8.700000e-03,4.829333e-01
8.750000e-03,4.410667e-01
8.800000e-03,3.898667e-01
8.850000e-03,5.154667e-01
8.900000e-03,5.013334e-01
8.950000e-03,4.456000e-01
9.000000e-03,4.362667e-01
9.050000e-03,4.504000e-01
9.100000e-03,4.549333e-01
9.150000e-03,4.224000e-01
9.200000e-03,5.618667e-01
9.250000e-03,2.645333e-01
9.300000e-03,4.178667e-01
9.350000e-03,4.224000e-01
9.400000e-03,5.664000e-01
9.450000e-03,3.946667e-01
9.500000e-03,3.946667e-01
9.550000e-03,4.317333e-01
9.600000e-03,3.434667e-01
9.650000e-03,3.760000e-01
9.700000e-03,3.296000e-01
9.750000e-03,4.178667e-01
9.800000e-03,5.061333e-01
9.850000e-03,4.362667e-01
9.900000e-03,3.064000e-01
9.950000e-03,4.736000e-01
1.000000e-02,4.456000e-01
1.005000e-02,3.712000e-01
1.010000e-02,4.130667e-01
1.015000e-02,2.690667e-01
1.020000e-02,5.525333e-01
1.025000e-02,5.106667e-01
1.030000e-02,5.154667e-01
1.035000e-02,4.130667e-01
1.040000e-02,4.829333e-01
1.045000e-02,2.690667e-01
1.050000e-02,4.362667e-01
1.055000e-02,3.946667e-01
1.060000e-02,5.802667e-01
1.065000e-02,4.410667e-01
1.070000e-02,6.221333e-01
1.075000e-02,5.480000e-01
1.080000e-02,4.504000e-01
1.085000e-02,4.920000e-01
1.090000e-02,5.944000e-01
1.095000e-02,4.504000e-01
1.100000e-02,3.712000e-01
1.105000e-02,3.434667e-01
1.110000e-02,4.224000e-01
1.115000e-02,5.293334e-01
1.120000e-02,4.504000e-01
1.125000e-02,4.224000e-01
1.130000e-02,5.432000e-01
1.135000e-02,4.224000e-01
1.140000e-02,4.085333e-01
1.145000e-02,4.272000e-01
1.150000e-02,3.712000e-01
1.155000e-02,4.597333e-01
1.160000e-02,3.946667e-01
1.165000e-02,5.480000e-01
1.170000e-02,4.597333e-01
1.175000e-02,5.061333e-01
1.180000e-02,5.293334e-01
1.185000e-02,3.853333e-01
1.190000e-02,3.480000e-01
1.195000e-02,4.597333e-01
1.200000e-02,3.341333e-01
1.205000e-02,4.224000e-01
1.210000e-02,5.293334e-01
1.215000e-02,3.898667e-01
1.220000e-02,2.272000e-01
1.225000e-02,7.152000e-01
1.230000e-02,4.736000e-01
1.235000e-02,3.992000e-01
1.240000e-02,4.597333e-01
1.245000e-02,2.552000e-01
1.250000e-02,5.061333e-01
1.255000e-02,4.272000e-01
1.260000e-02,5.106667e-01
1.265000e-02,3.389333e-01
1.270000e-02,4.272000e-01
1.275000e-02,3.016000e-01
1.280000e-02,3.064000e-01
1.285000e-02,3.480000e-01
1.290000e-02,4.688000e-01
1.295000e-02,3.296000e-01
1.300000e-02,5.432000e-01
1.305000e-02,4.272000e-01
1.310000e-02,3.760000e-01
1.315000e-02,4.224000e-01
1.320000e-02,3.154667e-01
1.325000e-02,6.221333e-01
1.330000e-02,4.874667e-01
1.335000e-02,5.712000e-01
1.340000e-02,3.341333e-01
1.345000e-02,4.920000e-01
1.350000e-02,3.154667e-01
1.355000e-02,3.480000e-01
1.360000e-02,2.226667e-01
1.365000e-02,2.784000e-01
1.370000e-02,5.338666e-01
1.375000e-02,4.224000e-01
1.380000e-02,4.688000e-01
1.385000e-02,3.109334e-01
1.390000e-02,1.714667e-01
1.395000e-02,4.688000e-01
1.400000e-02,4.781334e-01
1.405000e-02,4.688000e-01
1.410000e-02,4.178667e-01
1.415000e-02,4.597333e-01
1.420000e-02,2.690667e-01
1.425000e-02,4.968000e-01
1.430000e-02,5.293334e-01
1.435000e-02,3.434667e-01
1.440000e-02,7.384000e-01
1.445000e-02,3.202667e-01
1.450000e-02,3.341333e-01
1.455000e-02,4.504000e-01
1.460000e-02,3.666667e-01
1.465000e-02,4.037333e-01
1.470000e-02,3.621333e-01
1.475000e-02,2.272000e-01
1.480000e-02,5.106667e-01
1.485000e-02,4.224000e-01
1.490000e-02,4.504000e-01
1.495000e-02,4.130667e-01
1.500000e-02,3.666667e-01
1.505000e-02,5.432000e-01
1.510000e-02,4.272000e-01
1.515000e-02,4.178667e-01
1.520000e-02,5.293334e-01
1.525000e-02,3.946667e-01
1.530000e-02,3.480000e-01
1.535000e-02,3.621333e-01
1.540000e-02,4.456000e-01
1.545000e-02,4.178667e-01
1.550000e-02,2.738667e-01
1.555000e-02,1.994667e-01
1.560000e-02,3.202667e-01
1.565000e-02,6.128000e-01
1.570000e-02,3.898667e-01
1.575000e-02,5.061333e-01
1.580000e-02,5.200000e-01
1.585000e-02,5.154667e-01
1.590000e-02,4.829333e-01
1.595000e-02,4.130667e-01
1.600000e-02,3.805333e-01
1.605000e-02,4.224000e-01
1.610000e-02,9.927733e+00
1.615000e-02,9.862667e+00
1.620000e-02,9.872000e+00
1.625000e-02,9.867467e+00
1.630000e-02,9.830133e+00
1.635000e-02,9.844267e+00
1.640000e-02,9.844267e+00
1.645000e-02,9.821067e+00
1.650000e-02,1.005333e+01
1.655000e-02,8.854667e+00
1.660000e-02,7.470133e+00
1.665000e-02,6.801067e+00
1.670000e-02,5.152000e+00
1.675000e-02,4.417867e+00
1.680000e-02,3.604800e+00
1.685000e-02,3.154133e+00
1.690000e-02,2.661600e+00
1.695000e-02,1.937067e+00
1.700000e-02,1.593067e+00
1.705000e-02,1.286667e+00
1.710000e-02,1.216800e+00
1.715000e-02,1.003200e+00
1.720000e-02,1.030933e+00
1.725000e-02,7.245333e-01
1.730000e-02,7.245333e-01
1.735000e-02,5.338666e-01
1.740000e-02,6.408000e-01
1.745000e-02,7.197334e-01
1.750000e-02,5.432000e-01
1.755000e-02,5.154667e-01
1.760000e-02,5.106667e-01
1.765000e-02,4.130667e-01
1.770000e-02,5.061333e-01
1.775000e-02,5.570667e-01
1.780000e-02,4.597333e-01
1.785000e-02,3.202667e-01
1.790000e-02,4.968000e-01
1.795000e-02,3.760000e-01
1.800000e-02,5.850667e-01
1.805000e-02,4.362667e-01
1.810000e-02,6.314667e-01
1.815000e-02,3.109334e-01
1.820000e-02,5.293334e-01
1.825000e-02,4.781334e-01
1.830000e-02,4.456000e-01
1.835000e-02,3.109334e-01
1.840000e-02,4.874667e-01
1.845000e-02,4.968000e-01
1.850000e-02,5.570667e-01
1.855000e-02,3.946667e-01
1.860000e-02,2.413333e-01
1.865000e-02,4.688000e-01
1.870000e-02,4.597333e-01
1.875000e-02,3.202667e-01
1.880000e-02,3.296000e-01
1.885000e-02,3.666667e-01
1.890000e-02,3.898667e-01
1.895000e-02,5.154667e-01
1.900000e-02,4.504000e-01
1.905000e-02,6.594667e-01
1.910000e-02,4.130667e-01
