Time(s),CH4V
-2.720000e-02,-6.933333e-03
-2.700000e-02,-2.133333e-03
-2.680000e-02,-2.133333e-03
-2.660000e-02,1.653333e-02
-2.640000e-02,-1.146667e-02
-2.620000e-02,2.400000e-03
-2.600000e-02,-2.133333e-03
-2.580000e-02,-2.133333e-03
-2.560000e-02,-6.933333e-03
-2.540000e-02,-6.933333e-03
-2.520000e-02,-6.933333e-03
-2.500000e-02,-1.600000e-02
-2.480000e-02,7.200000e-03
-2.460000e-02,-2.133333e-03
-2.440000e-02,-1.146667e-02
-2.420000e-02,-2.133333e-03
-2.400000e-02,-6.933333e-03
-2.380000e-02,7.200000e-03
-2.360000e-02,-2.133333e-03
-2.340000e-02,-3.013333e-02
-2.320000e-02,7.200000e-03
-2.300000e-02,-6.933333e-03
-2.280000e-02,-6.933333e-03
-2.260000e-02,-2.133333e-03
-2.240000e-02,-1.600000e-02
-2.220000e-02,-3.013333e-02
-2.200000e-02,1.173333e-02
-2.180000e-02,-1.600000e-02
-2.160000e-02,-6.933333e-03
-2.140000e-02,-2.133333e-03
-2.120000e-02,-2.133333e-03
-2.100000e-02,-2.533333e-02
-2.080000e-02,-1.600000e-02
-2.060000e-02,-2.080000e-02
-2.040000e-02,-1.600000e-02
-2.020000e-02,-3.946667e-02
-2.000000e-02,-3.013333e-02
-1.980000e-02,7.200000e-03
-1.960000e-02,-6.933333e-03
-1.940000e-02,-2.133333e-03
-1.920000e-02,-2.133333e-03
-1.900000e-02,-1.600000e-02
-1.880000e-02,-2.080000e-02
-1.860000e-02,-2.133333e-03
-1.840000e-02,-1.146667e-02
-1.820000e-02,-1.146667e-02
-1.800000e-02,-1.146667e-02
-1.780000e-02,-2.080000e-02
-1.760000e-02,-1.146667e-02
-1.740000e-02,-2.133333e-03
-1.720000e-02,-1.146667e-02
-1.700000e-02,1.653333e-02
-1.680000e-02,-1.146667e-02
-1.660000e-02,-2.080000e-02
-1.640000e-02,-6.933333e-03
-1.620000e-02,-4.400000e-02
-1.600000e-02,7.200000e-03
-1.580000e-02,-6.933333e-03
-1.560000e-02,-2.133333e-03
-1.540000e-02,-2.133333e-03
-1.520000e-02,-6.933333e-03
-1.500000e-02,1.653333e-02
-1.480000e-02,-2.533333e-02
-1.460000e-02,-6.933333e-03
-1.440000e-02,7.200000e-03
-1.420000e-02,-2.133333e-03
-1.400000e-02,-2.533333e-02
-1.380000e-02,-6.933333e-03
-1.360000e-02,7.200000e-03
-1.340000e-02,1.653333e-02
-1.320000e-02,-2.133333e-03
-1.300000e-02,-6.933333e-03
-1.280000e-02,-1.600000e-02
-1.260000e-02,-2.133333e-03
-1.240000e-02,1.653333e-02
-1.220000e-02,7.200000e-03
-1.200000e-02,-6.933333e-03
-1.180000e-02,-2.133333e-03
-1.160000e-02,-1.146667e-02
-1.140000e-02,1.653333e-02
-1.120000e-02,-6.933333e-03
-1.100000e-02,7.200000e-03
-1.080000e-02,-2.133333e-03
-1.060000e-02,-1.600000e-02
-1.040000e-02,2.400000e-03
-1.020000e-02,2.400000e-03
-1.000000e-02,-1.146667e-02
-9.800000e-03,-1.600000e-02
-9.600000e-03,2.400000e-03
-9.400000e-03,-6.933333e-03
