Time(s),CH4V
-6.900000e-04,3.546666e-01
-6.850000e-04,3.080000e-01
-6.800000e-04,7.586666e-01
-6.750000e-04,4.733333e-01
-6.700000e-04,1.653333e-01
-6.650000e-04,4.266666e-01
-6.600000e-04,3.786666e-01
-6.550000e-04,2.600000e-01
-6.500000e-04,9.466666e-02
-6.450000e-04,9.466666e-02
-6.400000e-04,1.893333e-01
-6.350000e-04,1.893333e-01
-6.300000e-04,1.426667e-01
-6.250000e-04,2.400000e-02
-6.200000e-04,1.426667e-01
-6.150000e-04,1.653333e-01
-6.100000e-04,2.133333e-01
-6.050000e-04,5.919999e-01
-6.000000e-04,7.586666e-01
-5.950000e-04,5.680000e-01
-5.900000e-04,5.453333e-01
-5.850000e-04,7.346666e-01
-5.800000e-04,4.973333e-01
-5.750000e-04,2.600000e-01
-5.700000e-04,3.320000e-01
-5.650000e-04,4.506666e-01
-5.600000e-04,5.453333e-01
-5.550000e-04,5.453333e-01
-5.500000e-04,4.733333e-01
-5.450000e-04,4.506666e-01
-5.400000e-04,4.973333e-01
-5.350000e-04,2.373333e-01
-5.300000e-04,5.213333e-01
-5.250000e-04,9.239999e-01
-5.200000e-04,7.813333e-01
-5.150000e-04,5.919999e-01
-5.100000e-04,3.546666e-01
-5.050000e-04,2.600000e-01
-5.000000e-04,2.373333e-01
-4.950000e-04,2.600000e-01
-4.900000e-04,4.266666e-01
-4.850000e-04,3.080000e-01
-4.800000e-04,4.506666e-01
-4.750000e-04,4.506666e-01
-4.700000e-04,4.266666e-01
-4.650000e-04,2.373333e-01
-4.600000e-04,3.786666e-01
-4.550000e-04,5.680000e-01
-4.500000e-04,4.733333e-01
-4.450000e-04,3.786666e-01
-4.400000e-04,4.506666e-01
-4.350000e-04,3.320000e-01
-4.300000e-04,4.733333e-01
-4.250000e-04,4.506666e-01
-4.200000e-04,4.733333e-01
-4.150000e-04,3.320000e-01
-4.100000e-04,1.426667e-01
-4.050000e-04,3.546666e-01
-4.000000e-04,4.026666e-01
-3.950000e-04,3.080000e-01
-3.900000e-04,1.426667e-01
-3.850000e-04,2.133333e-01
-3.800000e-04,7.066666e-02
-3.750000e-04,9.466666e-02
-3.700000e-04,1.893333e-01
-3.650000e-04,2.373333e-01
-3.600000e-04,3.786666e-01
-3.550000e-04,3.786666e-01
-3.500000e-04,1.653333e-01
-3.450000e-04,3.080000e-01
-3.400000e-04,1.186667e-01
-3.350000e-04,1.893333e-01
-3.300000e-04,4.506666e-01
-3.250000e-04,4.973333e-01
-3.200000e-04,4.266666e-01
-3.150000e-04,4.506666e-01
-3.100000e-04,2.600000e-01
-3.050000e-04,1.186667e-01
-3.000000e-04,2.133333e-01
-2.950000e-04,2.840000e-01
-2.900000e-04,3.546666e-01
-2.850000e-04,4.026666e-01
-2.800000e-04,4.266666e-01
-2.750000e-04,2.133333e-01
-2.700000e-04,2.133333e-01
-2.650000e-04,2.373333e-01
-2.600000e-04,2.840000e-01
-2.550000e-04,2.133333e-01
-2.500000e-04,4.733333e-01
-2.450000e-04,2.133333e-01
-2.400000e-04,1.426667e-01
-2.350000e-04,4.506666e-01
-2.300000e-04,3.320000e-01
-2.250000e-04,2.373333e-01
-2.200000e-04,2.400000e-02
-2.150000e-04,1.893333e-01
-2.100000e-04,2.600000e-01
-2.050000e-04,2.373333e-01
-2.000000e-04,1.653333e-01
-1.950000e-04,1.893333e-01
-1.900000e-04,2.373333e-01
-1.850000e-04,9.466666e-02
-1.800000e-04,0.000000e+00
-1.750000e-04,2.400000e-02
-1.700000e-04,3.320000e-01
-1.650000e-04,2.840000e-01
-1.600000e-04,2.600000e-01
-1.550000e-04,3.786666e-01
-1.500000e-04,4.266666e-01
-1.450000e-04,4.506666e-01
-1.400000e-04,4.266666e-01
-1.350000e-04,3.786666e-01
-1.300000e-04,6.159999e-01
-1.250000e-04,5.453333e-01
-1.200000e-04,2.840000e-01
-1.150000e-04,1.653333e-01
-1.100000e-04,2.373333e-01
-1.050000e-04,2.600000e-01
-1.000000e-04,2.600000e-01
-9.500000e-05,9.466666e-02
-9.000000e-05,7.066666e-02
-8.500000e-05,1.653333e-01
-8.000000e-05,3.320000e-01
-7.500000e-05,2.840000e-01
-7.000000e-05,9.466666e-02
-6.500000e-05,2.840000e-01
-6.000000e-05,3.320000e-01
-5.500000e-05,3.320000e-01
-5.000000e-05,4.266666e-01
-4.500000e-05,3.786666e-01
-4.000000e-05,4.973333e-01
-3.500000e-05,3.786666e-01
-3.000000e-05,4.026666e-01
-2.500000e-05,2.700000e+00
-2.000000e-05,9.901332e+00
-1.500000e-05,9.758666e+00
-1.000000e-05,9.971999e+00
-5.000000e-06,9.711999e+00
1.504331e-18,9.901332e+00
5.000000e-06,9.806665e+00
1.000000e-05,9.711999e+00
1.500000e-05,9.782665e+00
2.000000e-05,9.854666e+00
2.500000e-05,9.663999e+00
3.000000e-05,9.830666e+00
3.500000e-05,9.641333e+00
4.000000e-05,9.735999e+00
4.500000e-05,9.830666e+00
5.000000e-05,9.782665e+00
5.500000e-05,9.687999e+00
6.000000e-05,9.735999e+00
6.500000e-05,9.663999e+00
7.000000e-05,9.877333e+00
7.500000e-05,9.806665e+00
8.000000e-05,9.735999e+00
8.500000e-05,9.854666e+00
9.000000e-05,9.711999e+00
9.500000e-05,9.782665e+00
1.000000e-04,9.854666e+00
1.050000e-04,9.806665e+00
1.100000e-04,9.830666e+00
1.150000e-04,9.758666e+00
1.200000e-04,9.663999e+00
1.250000e-04,9.854666e+00
1.300000e-04,9.806665e+00
1.350000e-04,9.806665e+00
1.400000e-04,9.877333e+00
1.450000e-04,9.854666e+00
1.500000e-04,9.854666e+00
1.550000e-04,9.782665e+00
1.600000e-04,9.854666e+00
1.650000e-04,9.735999e+00
1.700000e-04,9.782665e+00
1.750000e-04,9.806665e+00
1.800000e-04,9.735999e+00
1.850000e-04,9.830666e+00
1.900000e-04,9.971999e+00
1.950000e-04,9.711999e+00
2.000000e-04,9.758666e+00
2.050000e-04,9.806665e+00
2.100000e-04,9.735999e+00
2.150000e-04,9.735999e+00
2.200000e-04,9.806665e+00
2.250000e-04,9.758666e+00
2.300000e-04,9.735999e+00
2.350000e-04,9.758666e+00
2.400000e-04,9.971999e+00
2.450000e-04,9.854666e+00
2.500000e-04,9.901332e+00
2.550000e-04,9.711999e+00
2.600000e-04,9.758666e+00
2.650000e-04,9.711999e+00
2.700000e-04,9.711999e+00
2.750000e-04,9.663999e+00
2.800000e-04,9.949332e+00
2.850000e-04,9.663999e+00
2.900000e-04,9.854666e+00
2.950000e-04,9.782665e+00
3.000000e-04,9.877333e+00
3.050000e-04,9.854666e+00
3.100000e-04,9.806665e+00
3.150000e-04,9.782665e+00
3.200000e-04,9.830666e+00
3.250000e-04,9.663999e+00
3.300000e-04,9.782665e+00
3.350000e-04,9.735999e+00
3.400000e-04,9.758666e+00
3.450000e-04,9.782665e+00
3.500000e-04,9.782665e+00
3.550000e-04,9.687999e+00
3.600000e-04,1.006667e+01
3.650000e-04,9.806665e+00
3.700000e-04,9.901332e+00
3.750000e-04,9.901332e+00
3.800000e-04,9.901332e+00
3.850000e-04,9.854666e+00
3.900000e-04,9.901332e+00
3.950000e-04,9.830666e+00
4.000000e-04,9.995999e+00
4.050000e-04,1.009067e+01
4.100000e-04,9.971999e+00
4.150000e-04,9.474666e+00
4.200000e-04,9.687999e+00
4.250000e-04,9.403999e+00
4.300000e-04,8.977332e+00
4.350000e-04,8.858665e+00
4.400000e-04,8.906666e+00
4.450000e-04,8.906666e+00
