# h_max = 165.5 mm
# Δh = 0.5 mm
# Times are not monotonic, as h(t) is not. We go down by ticks.

# t[min], diff(h-h_max)[mm]
      0,                 0
      3,                 5
      6,                 4
     10,               5.5
     13,               4.5
     15,               2.5
     25,                 3
     30,                 4
     35,                 7
     40,                 4
     50,                 4
     60,               7.5
     80,               5.5
     69,                 2
     96,                 3
    106,                 7
    113,               5.5
    127,                 3
    134,               2.4
    135,               2.5
    153,               2.5
