# φ = 144° +/- 1°
# U0 = 400 mV

# ν[Hz],  X[mV], ΔX[mV], Y[mV], ΔY[mV]
     20, -129.2,    0.1, 67.15,   0.05
     30, -94.16,   0.05, 70.57,   0.05
     40, -75.33,   0.05, 68.44,   0.05
     60, -52.23,   0.05, 61.52,   0.05
     80, -38.75,   0.05, 55.15,   0.05
    100, -30.27,   0.05, 49.48,   0.05
    120, -23.80,   0.05, 45.12,   0.05
    150, -17.50,   0.05, 39.65,   0.05
    200, -11.24,   0.05, 32.15,   0.05
    250,   -7.7,    0.1, 27.24,   0.05
    300,  -5.56,   0.05, 23.34,   0.05
    350,  -4.03,   0.05, 20.50,   0.05
    400,  -3.01,   0.05, 18.15,   0.05
    500, -1.730,   0.01, 14.77,   0.05
    600, -1.027,   0.01, 12.41,   0.05
    700, -0.597,   0.01, 10.68,   0.05
    800, -0.322,   0.01, 9.379,   0.01
    900, -0.138,   0.01, 8.335,   0.01
   1000, -0.011,   0.01, 7.492,   0.01
