# I[mA], CH2[mV]
#    72,      56
    187,      64
    246,     136
    251,     208
    254,     272
    255,     320
    257,     392
    258,     456
    259,     528
    260,     568
    261,     640
    262,     670
    263,     672
    264,     649
    265,     576
    265,     533
    266,     464
    266,     376
    266,     312
    267,     240
    267,     184
    267,      80
    268,      -8
    268,     -80
    268,    -120
    269,    -170
    269,    -240
    269,    -248
    270,    -304
    270,    -405
    271,    -480
    272,    -528
    275,    -472
    278,    -280
    280,    -216
    282,    -119
    284,     -72
    291,       8
    296,      24
    321,      48
    410,      56
