# I[mA], CH2[mV]
    169,      64
    241,      72
    274,     112
    285,     190
    289,     256
    291,     336
    293,     415
    295,     480
    296,     545
    297,     602
    298,     680
    298,     736
    299,     801
    300,     870
    302,     901
    303,     860
    304,     800
    304,     736
    305,     655
    305,     581
    305,     536
    306,     392
    306,     328
    306,     280
    307,     192
    307,     128
    307,      76
    308,     -24
    308,     -80
    308,    -160
    309,    -233
    309,    -310
    309,    -376
    310,    -468
    310,    -551
    311,    -607
    312,    -683
    312,    -728
    314,    -800
    315,    -776
    316,    -725
    317,    -670
    318,    -592
    318,    -520
    319,    -480
    320,    -400
    321,    -322
    322,    -259
    323,    -209
    325,    -152
    328,     -72
    334,       0
    348,      55
    409,      72
