# START: TDC 0
# STOP: TDC 0
# 1st stop option: Off
# From: -48000000000 ps
# To: 48000000000 ps
# START counts: 63820
# STOP counts: 63820
# Time intervals: 63788
# Elapsed time: 254.3 s
# Offset: 0 ps
# 
# Time [ps]	Counts	PDF [1/ps]
0	4752	3.10403e-10
240000000	4463	2.91526e-10
480000000	3993	2.60825e-10
720000000	3773	2.46454e-10
960000000	3498	2.28491e-10
1200000000	3157	2.06217e-10
1440000000	3001	1.96027e-10
1680000000	2703	1.76561e-10
1920000000	2583	1.68723e-10
2160000000	2287	1.49388e-10
2400000000	2252	1.47102e-10
2640000000	2021	1.32013e-10
2880000000	1896	1.23848e-10
3120000000	1690	1.10392e-10
3360000000	1580	1.03206e-10
3600000000	1511	9.86993e-11
3840000000	1383	9.03383e-11
4080000000	1271	8.30224e-11
4320000000	1081	7.06115e-11
4560000000	1087	7.10034e-11
4800000000	971	6.34262e-11
5040000000	957	6.25118e-11
5280000000	823	5.37588e-11
5520000000	795	5.19298e-11
5760000000	794	5.18645e-11
6000000000	692	4.52018e-11
6240000000	639	4.17398e-11
6480000000	554	3.61876e-11
6720000000	534	3.48812e-11
6960000000	549	3.5861e-11
7200000000	433	2.82838e-11
7440000000	490	3.20071e-11
7680000000	430	2.80878e-11
7920000000	355	2.31888e-11
8160000000	364	2.37767e-11
8400000000	316	2.06413e-11
8640000000	304	1.98574e-11
8880000000	294	1.92042e-11
9120000000	256	1.67221e-11
9360000000	235	1.53503e-11
9600000000	234	1.5285e-11
9840000000	198	1.29335e-11
10080000000	178	1.16271e-11
10320000000	175	1.14311e-11
10560000000	182	1.18883e-11
10800000000	146	9.5368e-12
11040000000	130	8.49167e-12
11280000000	129	8.42635e-12
11520000000	100	6.53205e-12
11760000000	102	6.6627e-12
12000000000	95	6.20545e-12
12240000000	99	6.46673e-12
12480000000	91	5.94417e-12
12720000000	80	5.22564e-12
12960000000	80	5.22564e-12
13200000000	78	5.095e-12
13440000000	70	4.57244e-12
13680000000	55	3.59263e-12
13920000000	62	4.04987e-12
14160000000	53	3.46199e-12
14400000000	47	3.07007e-12
14640000000	47	3.07007e-12
14880000000	48	3.13539e-12
15120000000	48	3.13539e-12
15360000000	36	2.35154e-12
15600000000	42	2.74346e-12
15840000000	25	1.63301e-12
16080000000	28	1.82898e-12
16320000000	24	1.56769e-12
16560000000	25	1.63301e-12
16800000000	18	1.17577e-12
17040000000	21	1.37173e-12
17280000000	21	1.37173e-12
17520000000	15	9.79808e-13
17760000000	11	7.18526e-13
18000000000	17	1.11045e-12
18240000000	13	8.49167e-13
18480000000	18	1.17577e-12
18720000000	16	1.04513e-12
18960000000	14	9.14488e-13
19200000000	10	6.53205e-13
19440000000	10	6.53205e-13
19680000000	12	7.83846e-13
19920000000	9	5.87885e-13
20160000000	5	3.26603e-13
20400000000	6	3.91923e-13
20640000000	6	3.91923e-13
20880000000	7	4.57244e-13
21120000000	5	3.26603e-13
21360000000	4	2.61282e-13
21600000000	8	5.22564e-13
21840000000	5	3.26603e-13
22080000000	5	3.26603e-13
22320000000	8	5.22564e-13
22560000000	3	1.95962e-13
22800000000	2	1.30641e-13
23040000000	4	2.61282e-13
23280000000	0	0
23520000000	3	1.95962e-13
23760000000	2	1.30641e-13
24000000000	4	2.61282e-13
24240000000	2	1.30641e-13
24480000000	2	1.30641e-13
24720000000	2	1.30641e-13
24960000000	2	1.30641e-13
25200000000	1	6.53205e-14
25440000000	1	6.53205e-14
25680000000	0	0
25920000000	1	6.53205e-14
26160000000	1	6.53205e-14
26400000000	2	1.30641e-13
26640000000	0	0
26880000000	1	6.53205e-14
27120000000	4	2.61282e-13
27360000000	0	0
27600000000	2	1.30641e-13
27840000000	0	0
28080000000	0	0
28320000000	0	0
28560000000	0	0
28800000000	1	6.53205e-14
29040000000	0	0
29280000000	0	0
29520000000	0	0
29760000000	1	6.53205e-14
30000000000	0	0
30240000000	0	0
30480000000	1	6.53205e-14
30720000000	0	0
30960000000	1	6.53205e-14
31200000000	0	0
31440000000	0	0
31680000000	0	0
31920000000	0	0
32160000000	0	0
32400000000	0	0
32640000000	0	0
32880000000	0	0
33120000000	0	0
33360000000	0	0
33600000000	1	6.53205e-14
33840000000	0	0
34080000000	0	0
34320000000	0	0
34560000000	1	6.53205e-14
34800000000	0	0
35040000000	0	0
35280000000	0	0
35520000000	0	0
35760000000	0	0
36000000000	0	0
36240000000	0	0
36480000000	0	0
36720000000	0	0
36960000000	0	0
37200000000	0	0
37440000000	0	0
37680000000	0	0
37920000000	1	6.53205e-14
38160000000	0	0
38400000000	0	0
38640000000	0	0
38880000000	1	6.53205e-14
39120000000	0	0
39360000000	0	0
39600000000	0	0
39840000000	0	0
40080000000	0	0
40320000000	0	0
40560000000	0	0
40800000000	0	0
41040000000	0	0
41280000000	1	6.53205e-14
41520000000	0	0
41760000000	0	0
42000000000	0	0
42240000000	0	0
42480000000	0	0
42720000000	0	0
42960000000	0	0
43200000000	0	0
43440000000	0	0
43680000000	0	0
43920000000	0	0
44160000000	0	0
44400000000	0	0
44640000000	0	0
44880000000	0	0
45120000000	0	0
45360000000	0	0
45600000000	0	0
45840000000	0	0
46080000000	0	0
46320000000	1	6.53205e-14
46560000000	0	0
46800000000	0	0
47040000000	0	0
47280000000	0	0
47520000000	0	0
47760000000	1	6.53205e-14
