# START: TDC 0
# STOP: TDC 1
# 1st stop option: Off
# From: -30000000000 ps
# To: 30000000000 ps
# START counts: 8049
# STOP counts: 8935
# Time intervals: 17857
# Elapsed time: 30.1 s
# Offset: 0 ps
# 
# Time [ps]	Counts	PDF [1/ps]
-30000000000	0	0
-29400000000	0	0
-28800000000	0	0
-28200000000	1	9.33341e-14
-27600000000	0	0
-27000000000	1	9.33341e-14
-26400000000	2	1.86668e-13
-25800000000	0	0
-25200000000	3	2.80002e-13
-24600000000	2	1.86668e-13
-24000000000	2	1.86668e-13
-23400000000	3	2.80002e-13
-22800000000	5	4.6667e-13
-22200000000	5	4.6667e-13
-21600000000	1	9.33341e-14
-21000000000	2	1.86668e-13
-20400000000	8	7.46673e-13
-19800000000	7	6.53339e-13
-19200000000	9	8.40007e-13
-18600000000	8	7.46673e-13
-18000000000	8	7.46673e-13
-17400000000	13	1.21334e-12
-16800000000	11	1.02667e-12
-16200000000	16	1.49335e-12
-15600000000	13	1.21334e-12
-15000000000	24	2.24002e-12
-14400000000	33	3.08002e-12
-13800000000	31	2.89336e-12
-13200000000	36	3.36003e-12
-12600000000	41	3.8267e-12
-12000000000	52	4.85337e-12
-11400000000	76	7.09339e-12
-10800000000	67	6.25338e-12
-10200000000	97	9.05341e-12
-9600000000	103	9.61341e-12
-9000000000	125	1.16668e-11
-8400000000	145	1.35334e-11
-7800000000	194	1.81068e-11
-7200000000	212	1.97868e-11
-6600000000	240	2.24002e-11
-6000000000	299	2.79069e-11
-5400000000	403	3.76136e-11
-4800000000	443	4.1347e-11
-4200000000	531	4.95604e-11
-3600000000	636	5.93605e-11
-3000000000	675	6.30005e-11
-2400000000	831	7.75606e-11
-1800000000	955	8.9134e-11
-1200000000	1158	1.08081e-10
-600000000	1397	1.30388e-10
0	1468	1.37014e-10
600000000	1130	1.05468e-10
1200000000	939	8.76407e-11
1800000000	774	7.22406e-11
2400000000	719	6.71072e-11
3000000000	621	5.79605e-11
3600000000	485	4.5267e-11
4200000000	436	4.06937e-11
4800000000	345	3.22003e-11
5400000000	312	2.91202e-11
6000000000	264	2.46402e-11
6600000000	242	2.25868e-11
7200000000	187	1.74535e-11
7800000000	138	1.28801e-11
8400000000	131	1.22268e-11
9000000000	109	1.01734e-11
9600000000	98	9.14674e-12
10200000000	76	7.09339e-12
10800000000	71	6.62672e-12
11400000000	63	5.88005e-12
12000000000	43	4.01337e-12
12600000000	37	3.45336e-12
13200000000	38	3.5467e-12
13800000000	32	2.98669e-12
14400000000	28	2.61335e-12
15000000000	21	1.96002e-12
15600000000	27	2.52002e-12
16200000000	13	1.21334e-12
16800000000	9	8.40007e-13
17400000000	13	1.21334e-12
18000000000	12	1.12001e-12
18600000000	6	5.60004e-13
19200000000	9	8.40007e-13
19800000000	4	3.73336e-13
20400000000	7	6.53339e-13
21000000000	2	1.86668e-13
21600000000	3	2.80002e-13
22200000000	2	1.86668e-13
22800000000	3	2.80002e-13
23400000000	1	9.33341e-14
24000000000	3	2.80002e-13
24600000000	1	9.33341e-14
25200000000	2	1.86668e-13
25800000000	4	3.73336e-13
26400000000	1	9.33341e-14
27000000000	2	1.86668e-13
27600000000	0	0
28200000000	1	9.33341e-14
28800000000	0	0
29400000000	1	9.33341e-14
