# Total counts: 15151
# Active taps: 162
# Average width: 17.64 ps
# Temperature: 62.8 °C
# 
# Bin	Counts	Count ratio	Bin width [ps]	Time [ps]	DNL [LSB]	INL [LSB]
1	201	0.0132665	37.90	18.95	1.1492	1.149
2	214	0.0141245	40.36	58.08	1.2882	2.437
3	251	0.0165666	47.33	101.93	1.6838	4.121
4	140	0.00924031	26.40	138.79	0.4969	4.618
5	29	0.00191407	5.47	154.73	-0.6899	3.928
6	174	0.0114844	32.81	173.87	0.8605	4.789
7	9	0.00059402	1.70	191.12	-0.9038	3.885
8	106	0.00699624	19.99	201.97	0.1334	4.018
9	38	0.00250809	7.17	215.54	-0.5937	3.425
10	159	0.0104944	29.98	234.12	0.7001	4.125
11	3	0.000198007	0.57	249.39	-0.9679	3.157
12	168	0.0110884	31.68	265.52	0.7963	3.953
13	4	0.000264009	0.75	281.74	-0.9572	2.996
14	203	0.0133985	38.28	301.25	1.1705	4.166
15	33	0.00217807	6.22	323.51	-0.6472	3.519
16	351	0.0231668	66.19	359.71	2.7530	6.272
17	6	0.000396013	1.13	393.37	-0.9358	5.336
18	192	0.0126724	36.21	412.04	1.0529	6.389
19	8	0.000528018	1.51	430.90	-0.9145	5.475
20	5	0.000330011	0.94	432.13	-0.9465	4.528
21	17	0.00112204	3.21	434.20	-0.8182	3.710
22	170	0.0112204	32.06	451.83	0.8177	4.528
23	30	0.00198007	5.66	470.69	-0.6792	3.849
24	155	0.0102303	29.23	488.13	0.6573	4.506
25	32	0.00211207	6.03	505.77	-0.6578	3.848
26	136	0.00897631	25.65	521.61	0.4542	4.302
27	38	0.00250809	7.17	538.01	-0.5937	3.708
28	42	0.00277209	7.92	545.56	-0.5509	3.158
29	2	0.000132004	0.38	549.70	-0.9786	2.179
30	139	0.00917431	26.21	563.00	0.4862	2.665
31	70	0.00462016	13.20	582.71	-0.2515	2.414
32	351	0.0231668	66.19	622.40	2.7530	5.167
33	44	0.0029041	8.30	659.65	-0.5295	4.637
34	157	0.0103624	29.61	678.60	0.6787	5.316
35	45	0.0029701	8.49	697.64	-0.5188	4.797
36	86	0.00567619	16.22	710.00	-0.0805	4.717
37	39	0.00257409	7.35	721.78	-0.5830	4.134
38	214	0.0141245	40.36	745.64	1.2882	5.422
39	8	0.000528018	1.51	766.57	-0.9145	4.507
40	8	0.000528018	1.51	768.08	-0.9145	3.593
41	11	0.000726025	2.07	769.87	-0.8824	2.710
42	165	0.0108904	31.12	786.46	0.7642	3.475
43	59	0.00389413	11.13	807.58	-0.3692	3.105
44	312	0.0205927	58.84	842.57	2.3360	5.441
45	94	0.00620421	17.73	880.85	0.0051	5.447
46	141	0.00930632	26.59	903.00	0.5076	5.954
47	26	0.00171606	4.90	918.75	-0.7220	5.232
48	12	0.000792027	2.26	922.33	-0.8717	4.361
49	48	0.00316811	9.05	927.99	-0.4868	3.874
50	119	0.00785427	22.44	943.74	0.2724	4.146
51	8	0.000528018	1.51	955.71	-0.9145	3.232
52	66	0.00435615	12.45	962.69	-0.2943	2.937
53	20	0.00132004	3.77	970.80	-0.7862	2.151
54	87	0.0057422	16.41	980.89	-0.0698	2.081
55	49	0.00323411	9.24	993.71	-0.4761	1.605
56	385	0.0254109	72.60	1034.63	3.1166	4.722
57	37	0.00244208	6.98	1074.42	-0.6044	4.118
58	198	0.0130684	37.34	1096.58	1.1171	5.235
59	3	0.000198007	0.57	1115.53	-0.9679	4.267
60	150	0.00990034	28.29	1129.96	0.6039	4.871
61	54	0.00356412	10.18	1149.19	-0.4226	4.448
62	164	0.0108244	30.93	1169.75	0.7535	5.202
63	27	0.00178206	5.09	1187.76	-0.7113	4.490
64	219	0.0144545	41.30	1210.95	1.3416	5.832
65	18	0.00118804	3.39	1233.30	-0.8075	5.024
66	65	0.00429015	12.26	1241.13	-0.3050	4.719
67	43	0.0028381	8.11	1251.31	-0.5402	4.179
68	33	0.00217807	6.22	1258.47	-0.6472	3.532
69	11	0.000726025	2.07	1262.62	-0.8824	2.650
70	76	0.00501617	14.33	1270.83	-0.1874	2.462
71	64	0.00422414	12.07	1284.03	-0.3157	2.146
72	151	0.00996634	28.48	1304.30	0.6145	2.761
73	11	0.000726025	2.07	1319.57	-0.8824	1.879
74	194	0.0128044	36.58	1338.90	1.0743	2.953
75	8	0.000528018	1.51	1357.95	-0.9145	2.038
76	225	0.0148505	42.43	1379.92	1.4058	3.444
77	5	0.000330011	0.94	1401.60	-0.9465	2.498
78	173	0.0114184	32.62	1418.39	0.8498	3.348
79	6	0.000396013	1.13	1435.27	-0.9358	2.412
80	41	0.00270609	7.73	1439.70	-0.5616	1.850
81	22	0.00145205	4.15	1445.64	-0.7648	1.085
82	164	0.0108244	30.93	1463.18	0.7535	1.839
83	74	0.00488417	13.95	1485.62	-0.2088	1.630
84	163	0.0107584	30.74	1507.96	0.7429	2.373
