START: TDC 0
STOP: TDC 0
1st stop option: Off
From: 0 ps
To: 40000000000 ps
START counts: 18771
STOP counts: 18771
Time intervals: 18761
Elapsed time: 60.1 s
Offset: 0 ps

Time [ps]	Counts	PDF [1/ps]
0	1137	3.03022e-10
200000000	1128	3.00624e-10
400000000	1039	2.76904e-10
600000000	911	2.42791e-10
800000000	835	2.22536e-10
1000000000	803	2.14008e-10
1200000000	858	2.28666e-10
1400000000	704	1.87623e-10
1600000000	706	1.88156e-10
1800000000	681	1.81494e-10
2000000000	579	1.54309e-10
2200000000	583	1.55376e-10
2400000000	514	1.36986e-10
2600000000	531	1.41517e-10
2800000000	479	1.27658e-10
3000000000	418	1.11401e-10
3200000000	407	1.0847e-10
3400000000	411	1.09536e-10
3600000000	385	1.02606e-10
3800000000	330	8.79484e-11
4000000000	328	8.74154e-11
4200000000	301	8.02196e-11
4400000000	314	8.36842e-11
4600000000	259	6.90262e-11
4800000000	262	6.98257e-11
5000000000	238	6.34295e-11
5200000000	214	5.70332e-11
5400000000	215	5.72997e-11
5600000000	182	4.85049e-11
5800000000	173	4.61063e-11
6000000000	175	4.66393e-11
6200000000	154	4.10426e-11
6400000000	131	3.49129e-11
6600000000	157	4.18421e-11
6800000000	121	3.22477e-11
7000000000	136	3.62454e-11
7200000000	115	3.06487e-11
7400000000	109	2.90496e-11
7600000000	117	3.11817e-11
7800000000	96	2.5585e-11
8000000000	82	2.18538e-11
8200000000	93	2.47855e-11
8400000000	81	2.15873e-11
8600000000	71	1.89222e-11
8800000000	63	1.67901e-11
9000000000	68	1.81227e-11
9200000000	76	2.02548e-11
9400000000	76	2.02548e-11
9600000000	61	1.62571e-11
9800000000	51	1.3592e-11
10000000000	52	1.38585e-11
10200000000	34	9.06135e-12
10400000000	47	1.2526e-11
10600000000	43	1.14599e-11
10800000000	35	9.32786e-12
11000000000	47	1.2526e-11
11200000000	33	8.79484e-12
11400000000	29	7.7288e-12
11600000000	25	6.66276e-12
11800000000	24	6.39625e-12
12000000000	29	7.7288e-12
12200000000	35	9.32786e-12
12400000000	22	5.86323e-12
12600000000	17	4.53068e-12
12800000000	19	5.0637e-12
13000000000	18	4.79719e-12
13200000000	20	5.33021e-12
13400000000	10	2.6651e-12
13600000000	26	6.92927e-12
13800000000	21	5.59672e-12
14000000000	15	3.99765e-12
14200000000	10	2.6651e-12
14400000000	14	3.73114e-12
14600000000	11	2.93161e-12
14800000000	10	2.6651e-12
15000000000	8	2.13208e-12
15200000000	11	2.93161e-12
15400000000	7	1.86557e-12
15600000000	12	3.19812e-12
15800000000	9	2.39859e-12
16000000000	5	1.33255e-12
16200000000	8	2.13208e-12
16400000000	5	1.33255e-12
16600000000	8	2.13208e-12
16800000000	2	5.33021e-13
17000000000	3	7.99531e-13
17200000000	3	7.99531e-13
17400000000	2	5.33021e-13
17600000000	7	1.86557e-12
17800000000	2	5.33021e-13
18000000000	2	5.33021e-13
18200000000	0	0
18400000000	5	1.33255e-12
18600000000	6	1.59906e-12
18800000000	3	7.99531e-13
19000000000	5	1.33255e-12
19200000000	1	2.6651e-13
19400000000	2	5.33021e-13
19600000000	1	2.6651e-13
19800000000	5	1.33255e-12
20000000000	5	1.33255e-12
20200000000	4	1.06604e-12
20400000000	3	7.99531e-13
20600000000	1	2.6651e-13
20800000000	5	1.33255e-12
21000000000	0	0
21200000000	1	2.6651e-13
21400000000	0	0
21600000000	1	2.6651e-13
21800000000	3	7.99531e-13
22000000000	3	7.99531e-13
22200000000	1	2.6651e-13
22400000000	0	0
22600000000	0	0
22800000000	0	0
23000000000	0	0
23200000000	1	2.6651e-13
23400000000	0	0
23600000000	0	0
23800000000	0	0
24000000000	0	0
24200000000	1	2.6651e-13
24400000000	0	0
24600000000	0	0
24800000000	0	0
25000000000	0	0
25200000000	0	0
25400000000	0	0
25600000000	0	0
25800000000	0	0
26000000000	0	0
26200000000	0	0
26400000000	0	0
26600000000	1	2.6651e-13
26800000000	1	2.6651e-13
27000000000	0	0
27200000000	0	0
27400000000	0	0
27600000000	0	0
27800000000	0	0
28000000000	1	2.6651e-13
28200000000	0	0
28400000000	0	0
28600000000	0	0
28800000000	0	0
29000000000	0	0
29200000000	1	2.6651e-13
29400000000	0	0
29600000000	0	0
29800000000	0	0
30000000000	0	0
30200000000	1	2.6651e-13
30400000000	0	0
30600000000	0	0
30800000000	0	0
31000000000	0	0
31200000000	0	0
31400000000	0	0
31600000000	0	0
31800000000	0	0
32000000000	0	0
32200000000	0	0
32400000000	0	0
32600000000	0	0
32800000000	1	2.6651e-13
33000000000	0	0
33200000000	0	0
33400000000	0	0
33600000000	0	0
33800000000	0	0
34000000000	0	0
34200000000	0	0
34400000000	0	0
34600000000	0	0
34800000000	0	0
35000000000	0	0
35200000000	0	0
35400000000	0	0
35600000000	0	0
35800000000	0	0
36000000000	0	0
36200000000	0	0
36400000000	0	0
36600000000	0	0
36800000000	0	0
37000000000	0	0
37200000000	0	0
37400000000	0	0
37600000000	0	0
37800000000	0	0
38000000000	0	0
38200000000	0	0
38400000000	0	0
38600000000	0	0
38800000000	0	0
39000000000	0	0
39200000000	0	0
39400000000	0	0
39600000000	0	0
39800000000	0	0
