START: TDC 0
STOP: TDC 1
1st stop option: Off
From: -30000000000 ps
To: 30000000000 ps
START counts: 10066
STOP counts: 9041
Time intervals: 18075
Elapsed time: 30.1 s
Offset: 0 ps

Time [ps]	Counts	PDF [1/ps]
-30000000000	0	0
-29400000000	0	0
-28800000000	0	0
-28200000000	0	0
-27600000000	0	0
-27000000000	0	0
-26400000000	1	9.22084e-14
-25800000000	0	0
-25200000000	0	0
-24600000000	0	0
-24000000000	0	0
-23400000000	0	0
-22800000000	2	1.84417e-13
-22200000000	1	9.22084e-14
-21600000000	1	9.22084e-14
-21000000000	3	2.76625e-13
-20400000000	5	4.61042e-13
-19800000000	0	0
-19200000000	2	1.84417e-13
-18600000000	3	2.76625e-13
-18000000000	2	1.84417e-13
-17400000000	5	4.61042e-13
-16800000000	9	8.29876e-13
-16200000000	17	1.56754e-12
-15600000000	9	8.29876e-13
-15000000000	16	1.47533e-12
-14400000000	19	1.75196e-12
-13800000000	16	1.47533e-12
-13200000000	29	2.67404e-12
-12600000000	37	3.41171e-12
-12000000000	25	2.30521e-12
-11400000000	37	3.41171e-12
-10800000000	47	4.33379e-12
-10200000000	47	4.33379e-12
-9600000000	75	6.91563e-12
-9000000000	111	1.02351e-11
-8400000000	106	9.77409e-12
-7800000000	146	1.34624e-11
-7200000000	155	1.42923e-11
-6600000000	194	1.78884e-11
-6000000000	261	2.40664e-11
-5400000000	325	2.99677e-11
-4800000000	372	3.43015e-11
-4200000000	498	4.59198e-11
-3600000000	612	5.64315e-11
-3000000000	713	6.57446e-11
-2400000000	902	8.3172e-11
-1800000000	1094	1.00876e-10
-1200000000	1366	1.25957e-10
-600000000	1775	1.6367e-10
0	1756	1.61918e-10
600000000	1324	1.22084e-10
1200000000	1085	1.00046e-10
1800000000	829	7.64408e-11
2400000000	739	6.8142e-11
3000000000	593	5.46796e-11
3600000000	483	4.45367e-11
4200000000	407	3.75288e-11
4800000000	322	2.96911e-11
5400000000	281	2.59106e-11
6000000000	232	2.13923e-11
6600000000	177	1.63209e-11
7200000000	149	1.37391e-11
7800000000	124	1.14338e-11
8400000000	72	6.639e-12
9000000000	84	7.7455e-12
9600000000	57	5.25588e-12
10200000000	60	5.5325e-12
10800000000	57	5.25588e-12
11400000000	34	3.13509e-12
12000000000	32	2.95067e-12
12600000000	24	2.213e-12
13200000000	15	1.38313e-12
13800000000	11	1.01429e-12
14400000000	16	1.47533e-12
15000000000	16	1.47533e-12
15600000000	13	1.19871e-12
16200000000	7	6.45459e-13
16800000000	11	1.01429e-12
17400000000	5	4.61042e-13
18000000000	5	4.61042e-13
18600000000	4	3.68834e-13
19200000000	2	1.84417e-13
19800000000	1	9.22084e-14
20400000000	1	9.22084e-14
21000000000	3	2.76625e-13
21600000000	1	9.22084e-14
22200000000	0	0
22800000000	1	9.22084e-14
23400000000	1	9.22084e-14
24000000000	0	0
24600000000	1	9.22084e-14
25200000000	1	9.22084e-14
25800000000	0	0
26400000000	0	0
27000000000	1	9.22084e-14
27600000000	0	0
28200000000	0	0
28800000000	0	0
29400000000	0	0
