START: TDC 0
STOP: TDC 1
1st stop option: Off
From: -30000000000 ps
To: 30000000000 ps
START counts: 9810
STOP counts: 8777
Time intervals: 17545
Elapsed time: 30.1 s
Offset: 0 ps

Time [ps]	Counts	PDF [1/ps]
-30000000000	0	0
-29400000000	0	0
-28800000000	0	0
-28200000000	0	0
-27600000000	0	0
-27000000000	0	0
-26400000000	0	0
-25800000000	0	0
-25200000000	0	0
-24600000000	0	0
-24000000000	0	0
-23400000000	1	9.49938e-14
-22800000000	0	0
-22200000000	0	0
-21600000000	0	0
-21000000000	0	0
-20400000000	1	9.49938e-14
-19800000000	4	3.79975e-13
-19200000000	2	1.89988e-13
-18600000000	0	0
-18000000000	11	1.04493e-12
-17400000000	5	4.74969e-13
-16800000000	7	6.64957e-13
-16200000000	9	8.54944e-13
-15600000000	12	1.13993e-12
-15000000000	14	1.32991e-12
-14400000000	24	2.27985e-12
-13800000000	20	1.89988e-12
-13200000000	24	2.27985e-12
-12600000000	30	2.84981e-12
-12000000000	43	4.08473e-12
-11400000000	51	4.84469e-12
-10800000000	64	6.0796e-12
-10200000000	58	5.50964e-12
-9600000000	79	7.50451e-12
-9000000000	106	1.00693e-11
-8400000000	112	1.06393e-11
-7800000000	136	1.29192e-11
-7200000000	196	1.86188e-11
-6600000000	208	1.97587e-11
-6000000000	249	2.36535e-11
-5400000000	305	2.89731e-11
-4800000000	397	3.77125e-11
-4200000000	494	4.69269e-11
-3600000000	574	5.45265e-11
-3000000000	715	6.79206e-11
-2400000000	834	7.92249e-11
-1800000000	1052	9.99335e-11
-1200000000	1211	1.15038e-10
-600000000	1727	1.64054e-10
0	1814	1.72319e-10
600000000	1261	1.19787e-10
1200000000	1047	9.94585e-11
1800000000	874	8.30246e-11
2400000000	683	6.48808e-11
3000000000	541	5.13917e-11
3600000000	473	4.49321e-11
4200000000	396	3.76176e-11
4800000000	289	2.74532e-11
5400000000	265	2.51734e-11
6000000000	191	1.81438e-11
6600000000	189	1.79538e-11
7200000000	145	1.37741e-11
7800000000	120	1.13993e-11
8400000000	83	7.88449e-12
9000000000	51	4.84469e-12
9600000000	73	6.93455e-12
10200000000	52	4.93968e-12
10800000000	35	3.32478e-12
11400000000	44	4.17973e-12
12000000000	21	1.99487e-12
12600000000	24	2.27985e-12
13200000000	21	1.99487e-12
13800000000	18	1.70989e-12
14400000000	12	1.13993e-12
15000000000	9	8.54944e-13
15600000000	10	9.49938e-13
16200000000	6	5.69963e-13
16800000000	8	7.59951e-13
17400000000	4	3.79975e-13
18000000000	5	4.74969e-13
18600000000	2	1.89988e-13
19200000000	0	0
19800000000	0	0
20400000000	2	1.89988e-13
21000000000	1	9.49938e-14
21600000000	0	0
22200000000	1	9.49938e-14
22800000000	0	0
23400000000	0	0
24000000000	0	0
24600000000	0	0
25200000000	0	0
25800000000	0	0
26400000000	0	0
27000000000	0	0
27600000000	0	0
28200000000	0	0
28800000000	0	0
29400000000	0	0
