START: TDC 0
STOP: TDC 1
1st stop option: Off
From: -48000000000 ps
To: 48000000000 ps
START counts: 29510
STOP counts: 28419
Time intervals: 47771
Elapsed time: 93.3 s
Offset: 924967320.016 ps

Time [ps]	Counts	PDF [1/ps]
-30300000000	1	6.95455e-14
-29999000000	0	0
-29698000000	0	0
-29397000000	0	0
-29096000000	0	0
-28795000000	0	0
-28494000000	0	0
-28193000000	1	6.95455e-14
-27892000000	1	6.95455e-14
-27591000000	0	0
-27290000000	0	0
-26989000000	0	0
-26688000000	0	0
-26387000000	1	6.95455e-14
-26086000000	2	1.39091e-13
-25785000000	0	0
-25484000000	0	0
-25183000000	2	1.39091e-13
-24882000000	2	1.39091e-13
-24581000000	1	6.95455e-14
-24280000000	1	6.95455e-14
-23979000000	0	0
-23678000000	3	2.08637e-13
-23377000000	2	1.39091e-13
-23076000000	3	2.08637e-13
-22775000000	2	1.39091e-13
-22474000000	5	3.47728e-13
-22173000000	3	2.08637e-13
-21872000000	4	2.78182e-13
-21571000000	1	6.95455e-14
-21270000000	1	6.95455e-14
-20969000000	4	2.78182e-13
-20668000000	5	3.47728e-13
-20367000000	2	1.39091e-13
-20066000000	2	1.39091e-13
-19765000000	5	3.47728e-13
-19464000000	5	3.47728e-13
-19163000000	9	6.2591e-13
-18862000000	9	6.2591e-13
-18561000000	4	2.78182e-13
-18260000000	7	4.86819e-13
-17959000000	7	4.86819e-13
-17658000000	8	5.56364e-13
-17357000000	5	3.47728e-13
-17056000000	13	9.04092e-13
-16755000000	8	5.56364e-13
-16454000000	15	1.04318e-12
-16153000000	17	1.18227e-12
-15852000000	13	9.04092e-13
-15551000000	18	1.25182e-12
-15250000000	26	1.80818e-12
-14949000000	31	2.15591e-12
-14648000000	29	2.01682e-12
-14347000000	32	2.22546e-12
-14046000000	36	2.50364e-12
-13745000000	43	2.99046e-12
-13444000000	42	2.92091e-12
-13143000000	42	2.92091e-12
-12842000000	35	2.43409e-12
-12541000000	52	3.61637e-12
-12240000000	54	3.75546e-12
-11939000000	56	3.89455e-12
-11638000000	71	4.93773e-12
-11337000000	60	4.17273e-12
-11036000000	52	3.61637e-12
-10735000000	104	7.23273e-12
-10434000000	86	5.98091e-12
-10133000000	100	6.95455e-12
-9832000000	106	7.37183e-12
-9531000000	108	7.51092e-12
-9230000000	142	9.87546e-12
-8929000000	153	1.06405e-11
-8628000000	166	1.15446e-11
-8327000000	180	1.25182e-11
-8026000000	192	1.33527e-11
-7725000000	204	1.41873e-11
-7424000000	234	1.62737e-11
-7123000000	254	1.76646e-11
-6822000000	315	2.19068e-11
-6521000000	324	2.25327e-11
-6220000000	340	2.36455e-11
-5919000000	403	2.80268e-11
-5618000000	434	3.01828e-11
-5317000000	482	3.35209e-11
-5016000000	520	3.61637e-11
-4715000000	569	3.95714e-11
-4414000000	579	4.02669e-11
-4113000000	692	4.81255e-11
-3812000000	798	5.54973e-11
-3511000000	826	5.74446e-11
-3210000000	936	6.50946e-11
-2909000000	1013	7.04496e-11
-2608000000	1072	7.45528e-11
-2307000000	1184	8.23419e-11
-2006000000	1369	9.52078e-11
-1705000000	1425	9.91024e-11
-1404000000	1564	1.08769e-10
-1103000000	4989	3.46963e-10
-802000000	2230	1.55087e-10
-501000000	2143	1.49036e-10
-200000000	1960	1.36309e-10
101000000	1722	1.19757e-10
402000000	1607	1.1176e-10
703000000	1486	1.03345e-10
1004000000	1277	8.88096e-11
1305000000	1150	7.99774e-11
1606000000	1046	7.27446e-11
1907000000	1008	7.01019e-11
2208000000	795	5.52887e-11
2509000000	777	5.40369e-11
2810000000	711	4.94469e-11
3111000000	649	4.5135e-11
3412000000	624	4.33964e-11
3713000000	522	3.63028e-11
4014000000	496	3.44946e-11
4315000000	412	2.86528e-11
4616000000	400	2.78182e-11
4917000000	337	2.34368e-11
5218000000	330	2.295e-11
5519000000	293	2.03768e-11
5820000000	283	1.96814e-11
6121000000	250	1.73864e-11
6422000000	219	1.52305e-11
6723000000	212	1.47437e-11
7024000000	204	1.41873e-11
7325000000	195	1.35614e-11
7626000000	166	1.15446e-11
7927000000	134	9.3191e-12
8228000000	120	8.34546e-12
8529000000	114	7.92819e-12
8830000000	93	6.46773e-12
9131000000	98	6.81546e-12
9432000000	84	5.84182e-12
9733000000	82	5.70273e-12
10034000000	69	4.79864e-12
10335000000	75	5.21591e-12
10636000000	55	3.825e-12
10937000000	60	4.17273e-12
11238000000	54	3.75546e-12
11539000000	44	3.06e-12
11840000000	37	2.57318e-12
12141000000	32	2.22546e-12
12442000000	33	2.295e-12
12743000000	23	1.59955e-12
13044000000	38	2.64273e-12
13345000000	33	2.295e-12
13646000000	19	1.32136e-12
13947000000	22	1.53e-12
14248000000	23	1.59955e-12
14549000000	25	1.73864e-12
14850000000	13	9.04092e-13
15151000000	18	1.25182e-12
15452000000	10	6.95455e-13
15753000000	14	9.73637e-13
16054000000	6	4.17273e-13
16355000000	5	3.47728e-13
16656000000	16	1.11273e-12
16957000000	11	7.65001e-13
17258000000	5	3.47728e-13
17559000000	4	2.78182e-13
17860000000	5	3.47728e-13
18161000000	8	5.56364e-13
18462000000	8	5.56364e-13
18763000000	6	4.17273e-13
19064000000	3	2.08637e-13
19365000000	3	2.08637e-13
19666000000	5	3.47728e-13
19967000000	4	2.78182e-13
20268000000	1	6.95455e-14
20569000000	1	6.95455e-14
20870000000	5	3.47728e-13
21171000000	5	3.47728e-13
21472000000	1	6.95455e-14
21773000000	1	6.95455e-14
22074000000	1	6.95455e-14
22375000000	2	1.39091e-13
22676000000	4	2.78182e-13
22977000000	4	2.78182e-13
23278000000	3	2.08637e-13
23579000000	0	0
23880000000	0	0
24181000000	1	6.95455e-14
24482000000	2	1.39091e-13
24783000000	0	0
25084000000	2	1.39091e-13
25385000000	1	6.95455e-14
25686000000	2	1.39091e-13
25987000000	0	0
26288000000	0	0
26589000000	0	0
26890000000	1	6.95455e-14
27191000000	0	0
27492000000	0	0
27793000000	0	0
28094000000	0	0
28395000000	0	0
28696000000	0	0
28997000000	1	6.95455e-14
29298000000	1	6.95455e-14
29599000000	1	6.95455e-14
