START: TDC 1
STOP: TDC 0
1st stop option: Off
From: -48000000000 ps
To: 48000000000 ps
START counts: 42674
STOP counts: 42577
Time intervals: 52283
Elapsed time: 147.9 s
Offset: 0 ps

Time [ps]	Counts	PDF [1/ps]
-200000000	42600	3.75482e-09
17000000	650	5.72919e-11
234000000	564	4.97117e-11
451000000	517	4.55691e-11
668000000	486	4.28367e-11
885000000	439	3.86941e-11
1102000000	462	4.07213e-11
1319000000	407	3.58735e-11
1536000000	379	3.34056e-11
1753000000	344	3.03206e-11
1970000000	356	3.13783e-11
2187000000	308	2.71475e-11
2404000000	293	2.58254e-11
2621000000	269	2.371e-11
2838000000	267	2.35337e-11
3055000000	266	2.34456e-11
3272000000	224	1.97437e-11
3489000000	220	1.93911e-11
3706000000	198	1.7452e-11
3923000000	178	1.56892e-11
4140000000	158	1.39263e-11
4357000000	175	1.54247e-11
4574000000	150	1.32212e-11
4791000000	120	1.0577e-11
5008000000	126	1.11058e-11
5225000000	138	1.21635e-11
5442000000	110	9.69555e-12
5659000000	116	1.02244e-11
5876000000	119	1.04888e-11
6093000000	98	8.63785e-12
6310000000	87	7.6683e-12
6527000000	98	8.63785e-12
6744000000	100	8.81414e-12
6961000000	76	6.69874e-12
7178000000	78	6.87503e-12
7395000000	77	6.78689e-12
7612000000	77	6.78689e-12
7829000000	45	3.96636e-12
8046000000	59	5.20034e-12
8263000000	47	4.14264e-12
8480000000	56	4.93592e-12
8697000000	43	3.79008e-12
8914000000	45	3.96636e-12
9131000000	36	3.17309e-12
9348000000	44	3.87822e-12
9565000000	42	3.70194e-12
9782000000	31	2.73238e-12
9999000000	36	3.17309e-12
10216000000	31	2.73238e-12
10433000000	30	2.64424e-12
10650000000	22	1.93911e-12
10867000000	24	2.11539e-12
11084000000	26	2.29168e-12
11301000000	24	2.11539e-12
11518000000	23	2.02725e-12
11735000000	12	1.0577e-12
11952000000	18	1.58654e-12
12169000000	17	1.4984e-12
12386000000	17	1.4984e-12
12603000000	11	9.69555e-13
12820000000	16	1.41026e-12
13037000000	8	7.05131e-13
13254000000	7	6.1699e-13
13471000000	11	9.69555e-13
13688000000	10	8.81414e-13
13905000000	11	9.69555e-13
14122000000	7	6.1699e-13
14339000000	9	7.93272e-13
14556000000	10	8.81414e-13
14773000000	4	3.52565e-13
14990000000	6	5.28848e-13
15207000000	12	1.0577e-12
15424000000	10	8.81414e-13
15641000000	7	6.1699e-13
15858000000	5	4.40707e-13
16075000000	2	1.76283e-13
16292000000	4	3.52565e-13
16509000000	4	3.52565e-13
16726000000	6	5.28848e-13
16943000000	7	6.1699e-13
17160000000	2	1.76283e-13
17377000000	2	1.76283e-13
17594000000	1	8.81414e-14
17811000000	5	4.40707e-13
18028000000	1	8.81414e-14
18245000000	2	1.76283e-13
18462000000	5	4.40707e-13
18679000000	3	2.64424e-13
18896000000	5	4.40707e-13
19113000000	2	1.76283e-13
19330000000	2	1.76283e-13
19547000000	0	0
19764000000	2	1.76283e-13
19981000000	0	0
20198000000	1	8.81414e-14
20415000000	1	8.81414e-14
20632000000	2	1.76283e-13
20849000000	2	1.76283e-13
21066000000	1	8.81414e-14
21283000000	2	1.76283e-13
21500000000	0	0
21717000000	1	8.81414e-14
21934000000	1	8.81414e-14
22151000000	1	8.81414e-14
22368000000	0	0
22585000000	0	0
22802000000	0	0
23019000000	1	8.81414e-14
23236000000	0	0
23453000000	0	0
23670000000	1	8.81414e-14
23887000000	1	8.81414e-14
24104000000	0	0
24321000000	0	0
24538000000	2	1.76283e-13
24755000000	1	8.81414e-14
24972000000	1	8.81414e-14
25189000000	0	0
25406000000	0	0
25623000000	1	8.81414e-14
25840000000	0	0
26057000000	0	0
26274000000	0	0
26491000000	0	0
26708000000	0	0
26925000000	0	0
27142000000	0	0
27359000000	0	0
27576000000	1	8.81414e-14
27793000000	0	0
28010000000	1	8.81414e-14
28227000000	0	0
28444000000	0	0
28661000000	0	0
28878000000	0	0
29095000000	0	0
29312000000	0	0
29529000000	0	0
29746000000	1	8.81414e-14
29963000000	0	0
30180000000	0	0
30397000000	1	8.81414e-14
30614000000	0	0
30831000000	0	0
31048000000	0	0
31265000000	1	8.81414e-14
31482000000	0	0
31699000000	0	0
31916000000	0	0
32133000000	0	0
32350000000	0	0
32567000000	0	0
32784000000	0	0
33001000000	0	0
33218000000	0	0
33435000000	0	0
33652000000	0	0
33869000000	0	0
34086000000	0	0
34303000000	0	0
34520000000	0	0
34737000000	0	0
34954000000	0	0
35171000000	0	0
35388000000	0	0
35605000000	0	0
35822000000	0	0
36039000000	0	0
36256000000	0	0
36473000000	0	0
36690000000	0	0
36907000000	0	0
37124000000	0	0
37341000000	0	0
37558000000	0	0
37775000000	0	0
37992000000	0	0
38209000000	0	0
38426000000	0	0
38643000000	0	0
38860000000	0	0
39077000000	0	0
39294000000	0	0
39511000000	0	0
39728000000	0	0
39945000000	0	0
40162000000	0	0
40379000000	0	0
40596000000	0	0
40813000000	0	0
41030000000	0	0
41247000000	0	0
41464000000	0	0
41681000000	0	0
41898000000	0	0
42115000000	0	0
42332000000	0	0
42549000000	0	0
42766000000	0	0
42983000000	1	8.81414e-14
