START: TDC 0
STOP: TDC 1
1st stop option: Off
From: -48000000000 ps
To: 48000000000 ps
START counts: 19179
STOP counts: 18816
Time intervals: 37583
Elapsed time: 61.5 s
Offset: 0 ps

Time [ps]	Counts	PDF [1/ps]
-26800000000	1	1.0117e-13
-26537000000	0	0
-26274000000	0	0
-26011000000	1	1.0117e-13
-25748000000	0	0
-25485000000	2	2.0234e-13
-25222000000	0	0
-24959000000	1	1.0117e-13
-24696000000	0	0
-24433000000	1	1.0117e-13
-24170000000	1	1.0117e-13
-23907000000	1	1.0117e-13
-23644000000	0	0
-23381000000	1	1.0117e-13
-23118000000	0	0
-22855000000	1	1.0117e-13
-22592000000	1	1.0117e-13
-22329000000	2	2.0234e-13
-22066000000	1	1.0117e-13
-21803000000	2	2.0234e-13
-21540000000	3	3.03511e-13
-21277000000	2	2.0234e-13
-21014000000	0	0
-20751000000	0	0
-20488000000	1	1.0117e-13
-20225000000	1	1.0117e-13
-19962000000	2	2.0234e-13
-19699000000	4	4.04681e-13
-19436000000	1	1.0117e-13
-19173000000	2	2.0234e-13
-18910000000	7	7.08192e-13
-18647000000	3	3.03511e-13
-18384000000	1	1.0117e-13
-18121000000	7	7.08192e-13
-17858000000	8	8.09362e-13
-17595000000	4	4.04681e-13
-17332000000	5	5.05851e-13
-17069000000	5	5.05851e-13
-16806000000	3	3.03511e-13
-16543000000	6	6.07021e-13
-16280000000	11	1.11287e-12
-16017000000	10	1.0117e-12
-15754000000	16	1.61872e-12
-15491000000	11	1.11287e-12
-15228000000	15	1.51755e-12
-14965000000	9	9.10532e-13
-14702000000	19	1.92223e-12
-14439000000	15	1.51755e-12
-14176000000	10	1.0117e-12
-13913000000	21	2.12458e-12
-13650000000	21	2.12458e-12
-13387000000	26	2.63043e-12
-13124000000	22	2.22575e-12
-12861000000	25	2.52926e-12
-12598000000	35	3.54096e-12
-12335000000	25	2.52926e-12
-12072000000	37	3.7433e-12
-11809000000	36	3.64213e-12
-11546000000	41	4.14798e-12
-11283000000	46	4.65383e-12
-11020000000	48	4.85617e-12
-10757000000	53	5.36202e-12
-10494000000	58	5.86787e-12
-10231000000	61	6.17139e-12
-9968000000	71	7.18309e-12
-9705000000	69	6.98075e-12
-9442000000	81	8.19479e-12
-9179000000	88	8.90298e-12
-8916000000	97	9.81351e-12
-8653000000	99	1.00159e-11
-8390000000	112	1.13311e-11
-8127000000	131	1.32533e-11
