Total counts: 18634
Active taps: 163
Average width: 17.53 ps
Temperature: 62.5 °C

Bin	Counts	Count ratio	Bin width [ps]	Time [ps]	DNL [LSB]	INL [LSB]
1	251	0.01347	38.49	19.24	1.1956	1.196
2	321	0.0172266	49.22	63.10	1.8079	3.004
3	283	0.0151873	43.39	109.40	1.4755	4.479
4	258	0.0138457	39.56	150.88	1.2568	5.736
5	24	0.00128797	3.68	172.50	-0.7901	4.946
6	248	0.013309	38.03	193.35	1.1694	6.115
7	19	0.00101964	2.91	213.82	-0.8338	5.281
8	109	0.00584952	16.71	223.63	-0.0465	5.235
9	93	0.00499088	14.26	239.12	-0.1865	5.048
10	179	0.0096061	27.45	259.97	0.5658	5.614
11	20	0.00107331	3.07	275.23	-0.8251	4.789
12	285	0.0152946	43.70	298.61	1.4930	6.282
13	17	0.000912311	2.61	321.76	-0.8513	5.431
14	138	0.00740582	21.16	333.65	0.2071	5.638
15	48	0.00257594	7.36	347.90	-0.5801	5.058
16	33	0.00177096	5.06	354.11	-0.7113	4.347
17	2	0.000107331	0.31	356.80	-0.9825	3.364
18	184	0.00987442	28.21	371.06	0.6095	3.974
19	5	0.000268327	0.77	385.55	-0.9563	3.017
20	453	0.0243104	69.46	420.66	2.9626	5.980
21	107	0.00574219	16.41	463.59	-0.0640	5.916
22	163	0.00874745	24.99	484.29	0.4258	6.342
23	62	0.00332725	9.51	501.54	-0.4577	5.884
24	196	0.0105184	30.05	521.32	0.7145	6.599
25	16	0.000858645	2.45	537.57	-0.8600	5.739
26	177	0.00949877	27.14	552.37	0.5483	6.287
27	17	0.000912311	2.61	567.24	-0.8513	5.436
28	271	0.0145433	41.55	589.32	1.3706	6.806
29	2	0.000107331	0.31	610.25	-0.9825	5.824
30	225	0.0120747	34.50	627.65	0.9682	6.792
31	30	0.00160996	4.60	647.20	-0.7376	6.054
32	167	0.00896211	25.61	662.31	0.4608	6.515
33	4	0.000214661	0.61	675.42	-0.9650	5.550
34	278	0.014919	42.63	697.04	1.4318	6.982
35	12	0.000643984	1.84	719.27	-0.8950	6.087
36	349	0.0187292	53.51	746.94	2.0529	8.140
37	19	0.00101964	2.91	775.16	-0.8338	7.306
38	13	0.000697649	1.99	777.61	-0.8863	6.420
39	3	0.000160996	0.46	778.84	-0.9738	5.446
40	155	0.00831813	23.77	790.95	0.3559	5.802
41	67	0.00359558	10.27	807.97	-0.4139	5.388
42	4	0.000214661	0.61	813.41	-0.9650	4.423
43	9	0.000482988	1.38	814.41	-0.9213	3.501
44	280	0.0150263	42.93	836.57	1.4493	4.951
45	25	0.00134163	3.83	859.95	-0.7813	4.169
46	135	0.00724482	20.70	872.22	0.1809	4.350
47	55	0.00295159	8.43	886.78	-0.5189	3.831
48	187	0.0100354	28.67	905.33	0.6358	4.467
49	10	0.000536653	1.53	920.44	-0.9125	3.555
50	197	0.0105721	30.21	936.31	0.7232	4.278
51	39	0.00209295	5.98	954.40	-0.6588	3.619
52	190	0.0101964	29.13	971.96	0.6620	4.281
53	35	0.00187829	5.37	989.21	-0.6938	3.587
54	257	0.013792	39.41	1011.59	1.2481	4.835
55	6	0.000321992	0.92	1031.75	-0.9475	3.888
56	86	0.00461522	13.19	1038.81	-0.2477	3.640
57	50	0.00268327	7.67	1049.23	-0.5626	3.077
58	216	0.0115917	33.12	1069.63	0.8894	3.967
59	30	0.00160996	4.60	1088.49	-0.7376	3.229
