# START: TDC 0
# STOP: TDC 1
# 1st stop option: Off
# From: -48000000000 ps
# To: 48000000000 ps
# START counts: 20480
# STOP counts: 20331
# Time intervals: 30084
# Elapsed time: 15.1 s
# Offset: 0 ps
# 
# Time [ps]	Counts	PDF [1/ps]
-30000000	20384	1.90865e-08
5500000	461	4.31655e-10
41000000	441	4.12928e-10
76500000	398	3.72665e-10
112000000	394	3.6892e-10
147500000	393	3.67984e-10
183000000	403	3.77347e-10
218500000	362	3.38957e-10
254000000	362	3.38957e-10
289500000	327	3.06185e-10
325000000	323	3.0244e-10
360500000	285	2.66858e-10
396000000	280	2.62177e-10
431500000	241	2.25659e-10
467000000	261	2.44386e-10
502500000	257	2.40641e-10
538000000	219	2.0506e-10
573500000	213	1.99442e-10
609000000	217	2.03187e-10
644500000	206	1.92887e-10
680000000	172	1.61051e-10
715500000	157	1.47006e-10
751000000	159	1.48879e-10
786500000	170	1.59179e-10
822000000	152	1.42324e-10
857500000	146	1.36706e-10
893000000	123	1.1517e-10
928500000	119	1.11425e-10
964000000	137	1.28279e-10
999500000	131	1.22661e-10
1035000000	101	9.45709e-11
1070500000	110	1.02998e-10
1106000000	84	7.8653e-11
1141500000	105	9.83163e-11
1177000000	87	8.1462e-11
1212500000	76	7.11622e-11
1248000000	87	8.1462e-11
1283500000	88	8.23984e-11
1319000000	66	6.17988e-11
1354500000	73	6.83532e-11
1390000000	70	6.55442e-11
1425500000	61	5.71171e-11
1461000000	56	5.24353e-11
1496500000	55	5.1499e-11
1532000000	57	5.33717e-11
1567500000	56	5.24353e-11
1603000000	55	5.1499e-11
1638500000	45	4.21355e-11
1674000000	45	4.21355e-11
1709500000	43	4.02629e-11
1745000000	45	4.21355e-11
1780500000	28	2.62177e-11
1816000000	28	2.62177e-11
1851500000	36	3.37084e-11
1887000000	34	3.18357e-11
1922500000	30	2.80904e-11
1958000000	30	2.80904e-11
1993500000	27	2.52813e-11
2029000000	23	2.15359e-11
2064500000	26	2.4345e-11
2100000000	30	2.80904e-11
2135500000	23	2.15359e-11
2171000000	18	1.68542e-11
2206500000	15	1.40452e-11
2242000000	17	1.59179e-11
2277500000	16	1.49815e-11
2313000000	16	1.49815e-11
2348500000	17	1.59179e-11
2384000000	12	1.12361e-11
2419500000	22	2.05996e-11
2455000000	8	7.49076e-12
2490500000	13	1.21725e-11
2526000000	17	1.59179e-11
2561500000	13	1.21725e-11
2597000000	12	1.12361e-11
2632500000	12	1.12361e-11
2668000000	10	9.36345e-12
2703500000	4	3.74538e-12
2739000000	5	4.68173e-12
2774500000	7	6.55442e-12
2810000000	12	1.12361e-11
2845500000	5	4.68173e-12
2881000000	3	2.80904e-12
2916500000	2	1.87269e-12
2952000000	6	5.61807e-12
2987500000	9	8.42711e-12
3023000000	6	5.61807e-12
3058500000	6	5.61807e-12
3094000000	5	4.68173e-12
3129500000	6	5.61807e-12
3165000000	7	6.55442e-12
3200500000	6	5.61807e-12
3236000000	4	3.74538e-12
3271500000	2	1.87269e-12
3307000000	6	5.61807e-12
3342500000	3	2.80904e-12
3378000000	2	1.87269e-12
3413500000	0	0
3449000000	5	4.68173e-12
3484500000	2	1.87269e-12
3520000000	1	9.36345e-13
3555500000	4	3.74538e-12
3591000000	4	3.74538e-12
3626500000	2	1.87269e-12
3662000000	6	5.61807e-12
3697500000	6	5.61807e-12
3733000000	1	9.36345e-13
3768500000	5	4.68173e-12
3804000000	0	0
3839500000	2	1.87269e-12
3875000000	3	2.80904e-12
3910500000	2	1.87269e-12
3946000000	1	9.36345e-13
3981500000	1	9.36345e-13
4017000000	1	9.36345e-13
4052500000	1	9.36345e-13
4088000000	2	1.87269e-12
4123500000	0	0
4159000000	5	4.68173e-12
4194500000	3	2.80904e-12
4230000000	2	1.87269e-12
4265500000	2	1.87269e-12
4301000000	3	2.80904e-12
4336500000	2	1.87269e-12
4372000000	0	0
4407500000	0	0
4443000000	0	0
4478500000	1	9.36345e-13
4514000000	0	0
4549500000	1	9.36345e-13
4585000000	0	0
4620500000	0	0
4656000000	0	0
4691500000	3	2.80904e-12
4727000000	2	1.87269e-12
4762500000	2	1.87269e-12
4798000000	0	0
4833500000	2	1.87269e-12
4869000000	0	0
4904500000	1	9.36345e-13
4940000000	1	9.36345e-13
4975500000	1	9.36345e-13
5011000000	0	0
5046500000	1	9.36345e-13
5082000000	0	0
5117500000	0	0
5153000000	0	0
5188500000	0	0
5224000000	0	0
5259500000	0	0
5295000000	2	1.87269e-12
5330500000	0	0
5366000000	0	0
5401500000	0	0
5437000000	0	0
5472500000	0	0
5508000000	0	0
5543500000	0	0
5579000000	0	0
5614500000	0	0
5650000000	0	0
5685500000	0	0
5721000000	0	0
5756500000	1	9.36345e-13
5792000000	0	0
5827500000	0	0
5863000000	0	0
5898500000	0	0
5934000000	0	0
5969500000	0	0
6005000000	0	0
6040500000	0	0
6076000000	0	0
6111500000	0	0
6147000000	0	0
6182500000	1	9.36345e-13
6218000000	0	0
6253500000	0	0
6289000000	0	0
6324500000	0	0
6360000000	0	0
6395500000	0	0
6431000000	0	0
6466500000	0	0
6502000000	0	0
6537500000	0	0
6573000000	0	0
6608500000	0	0
6644000000	0	0
6679500000	0	0
6715000000	0	0
6750500000	0	0
6786000000	0	0
6821500000	0	0
6857000000	0	0
6892500000	0	0
6928000000	0	0
6963500000	0	0
6999000000	1	9.36345e-13
7034500000	1	9.36345e-13
