# Time [ns]	Counts	PDF [1/ns]
-500	0	0
-495	0	0
-490	0	0
-485	0	0
-480	0	0
-475	0	0
-470	0	0
-465	0	0
-460	0	0
-455	0	0
-450	0	0
-445	0	0
-440	0	0
-435	0	0
-430	0	0
-425	0	0
-420	0	0
-415	0	0
-410	0	0
-405	0	0
-400	0	0
-395	0	0
-390	0	0
-385	0	0
-380	0	0
-375	0	0
-370	0	0
-365	0	0
-360	0	0
-355	0	0
-350	0	0
-345	0	0
-340	0	0
-335	0	0
-330	0	0
-325	0	0
-320	0	0
-315	0	0
-310	0	0
-305	0	0
-300	0	0
-295	0	0
-290	0	0
-285	0	0
-280	0	0
-275	0	0
-270	0	0
-265	0	0
-260	0	0
-255	0	0
-250	0	0
-245	0	0
-240	0	0
-235	0	0
-230	0	0
-225	0	0
-220	0	0
-215	1	0.000256739
-210	0	0
-205	0	0
-200	0	0
-195	0	0
-190	0	0
-185	0	0
-180	0	0
-175	0	0
-170	1	0.000256739
-165	0	0
-160	0	0
-155	0	0
-150	3	0.000770218
-145	0	0
-140	0	0
-135	0	0
-130	1	0.000256739
-125	1	0.000256739
-120	9	0.00231065
-115	3	0.000770218
-110	3	0.000770218
-105	2	0.000513479
-100	1	0.000256739
-95	6	0.00154044
-90	4	0.00102696
-85	9	0.00231065
-80	5	0.0012837
-75	4	0.00102696
-70	3	0.000770218
-65	4	0.00102696
-60	18	0.00462131
-55	25	0.00641849
-50	23	0.00590501
-45	47	0.0120668
-40	12	0.00308087
-35	26	0.00667522
-30	35	0.00898588
-25	48	0.0123235
-20	52	0.0133504
-15	44	0.0112965
-10	54	0.0138639
-5	43	0.0110398
0	46	0.01181
5	39	0.0100128
10	34	0.00872914
15	18	0.00462131
20	32	0.00821566
25	23	0.00590501
30	20	0.00513479
35	13	0.00333761
40	2	0.000513479
45	7	0.00179718
50	5	0.0012837
55	3	0.000770218
60	8	0.00205392
65	3	0.000770218
70	1	0.000256739
75	5	0.0012837
80	0	0
85	7	0.00179718
90	2	0.000513479
95	3	0.000770218
100	2	0.000513479
105	3	0.000770218
110	1	0.000256739
115	0	0
120	4	0.00102696
125	1	0.000256739
130	0	0
135	1	0.000256739
140	2	0.000513479
145	0	0
150	0	0
155	2	0.000513479
160	1	0.000256739
165	0	0
170	0	0
175	1	0.000256739
180	0	0
185	0	0
190	0	0
195	1	0.000256739
200	0	0
205	0	0
210	0	0
215	0	0
220	0	0
225	0	0
230	0	0
235	0	0
240	0	0
245	0	0
250	0	0
255	0	0
260	0	0
265	0	0
270	1	0.000256739
275	0	0
280	0	0
285	0	0
290	0	0
295	0	0
300	0	0
305	0	0
310	0	0
315	0	0
320	0	0
325	0	0
330	0	0
335	0	0
340	0	0
345	0	0
350	1	0.000256739
355	0	0
360	0	0
365	0	0
370	0	0
375	0	0
380	0	0
385	0	0
390	0	0
395	0	0
400	0	0
405	0	0
410	0	0
415	0	0
420	0	0
425	0	0
430	0	0
435	0	0
440	0	0
445	0	0
450	0	0
455	0	0
460	0	0
465	0	0
470	0	0
475	0	0
480	0	0
485	0	0
490	0	0
495	0	0
