# Time [ns]	Counts	PDF [1/ns]
-500	1	2.36239e-05
-495	1	2.36239e-05
-490	0	0
-485	0	0
-480	0	0
-475	0	0
-470	0	0
-465	1	2.36239e-05
-460	0	0
-455	1	2.36239e-05
-450	0	0
-445	0	0
-440	0	0
-435	0	0
-430	0	0
-425	1	2.36239e-05
-420	0	0
-415	0	0
-410	0	0
-405	0	0
-400	0	0
-395	0	0
-390	0	0
-385	0	0
-380	0	0
-375	0	0
-370	1	2.36239e-05
-365	0	0
-360	0	0
-355	1	2.36239e-05
-350	1	2.36239e-05
-345	0	0
-340	0	0
-335	0	0
-330	0	0
-325	0	0
-320	0	0
-315	2	4.72478e-05
-310	1	2.36239e-05
-305	0	0
-300	0	0
-295	0	0
-290	0	0
-285	1	2.36239e-05
-280	0	0
-275	2	4.72478e-05
-270	0	0
-265	0	0
-260	0	0
-255	2	4.72478e-05
-250	0	0
-245	6	0.000141743
-240	0	0
-235	0	0
-230	2	4.72478e-05
-225	0	0
-220	4	9.44956e-05
-215	2	4.72478e-05
-210	1	2.36239e-05
-205	0	0
-200	4	9.44956e-05
-195	4	9.44956e-05
-190	7	0.000165367
-185	6	0.000141743
-180	5	0.00011812
-175	4	9.44956e-05
-170	1	2.36239e-05
-165	3	7.08717e-05
-160	17	0.000401606
-155	10	0.000236239
-150	24	0.000566974
-145	10	0.000236239
-140	5	0.00011812
-135	5	0.00011812
-130	33	0.000779589
-125	135	0.00318923
-120	191	0.00451217
-115	76	0.00179542
-110	25	0.000590598
-105	19	0.000448854
-100	52	0.00122844
-95	219	0.00517364
-90	272	0.0064257
-85	148	0.00349634
-80	88	0.0020789
-75	21	0.000496102
-70	16	0.000377983
-65	66	0.00155918
-60	173	0.00408694
-55	312	0.00737066
-50	235	0.00555162
-45	278	0.00656745
-40	49	0.00115757
-35	153	0.00361446
-30	384	0.00907158
-25	453	0.0107016
-20	350	0.00826837
-15	370	0.00874085
-10	361	0.00852823
-5	360	0.00850461
0	317	0.00748878
5	327	0.00772502
10	220	0.00519726
15	230	0.0054335
20	310	0.00732341
25	204	0.00481928
30	237	0.00559887
35	159	0.0037562
40	15	0.000354359
45	65	0.00153555
50	73	0.00172455
55	82	0.00193716
60	135	0.00318923
65	80	0.00188991
70	40	0.000944956
75	84	0.00198441
80	113	0.0026695
85	113	0.0026695
90	92	0.0021734
95	126	0.00297661
100	35	0.000826837
105	72	0.00170092
110	64	0.00151193
115	54	0.00127569
120	33	0.000779589
125	32	0.000755965
130	20	0.000472478
135	32	0.000755965
140	16	0.000377983
145	15	0.000354359
150	3	7.08717e-05
155	13	0.000307111
160	8	0.000188991
165	11	0.000259863
170	4	9.44956e-05
175	6	0.000141743
180	1	2.36239e-05
185	7	0.000165367
190	3	7.08717e-05
195	3	7.08717e-05
200	1	2.36239e-05
205	7	0.000165367
210	1	2.36239e-05
215	4	9.44956e-05
220	1	2.36239e-05
225	1	2.36239e-05
230	0	0
235	1	2.36239e-05
240	4	9.44956e-05
245	2	4.72478e-05
250	1	2.36239e-05
255	0	0
260	1	2.36239e-05
265	2	4.72478e-05
270	0	0
275	2	4.72478e-05
280	0	0
285	0	0
290	0	0
295	1	2.36239e-05
300	0	0
305	0	0
310	0	0
315	0	0
320	0	0
325	0	0
330	0	0
335	1	2.36239e-05
340	0	0
345	0	0
350	0	0
355	0	0
360	0	0
365	1	2.36239e-05
370	0	0
375	0	0
380	0	0
385	0	0
390	1	2.36239e-05
395	0	0
400	1	2.36239e-05
405	0	0
410	0	0
415	0	0
420	1	2.36239e-05
425	0	0
430	0	0
435	1	2.36239e-05
440	1	2.36239e-05
445	0	0
450	0	0
455	0	0
460	0	0
465	0	0
470	0	0
475	0	0
480	0	0
485	1	2.36239e-05
490	0	0
495	0	0
