# Time [ps]	Counts	PDF [1/ps]
0	1264	1.17846e-09
30000000	1285	1.19803e-09
60000000	1247	1.16261e-09
90000000	1179	1.09921e-09
120000000	1094	1.01996e-09
150000000	1063	9.91059e-10
180000000	1015	9.46308e-10
210000000	1006	9.37917e-10
240000000	880	8.20444e-10
270000000	916	8.54008e-10
300000000	889	8.28835e-10
330000000	875	8.15782e-10
360000000	818	7.6264e-10
390000000	819	7.63572e-10
420000000	771	7.18821e-10
450000000	748	6.97377e-10
480000000	689	6.4237e-10
510000000	671	6.25589e-10
540000000	704	6.56355e-10
570000000	624	5.81769e-10
600000000	601	5.60326e-10
630000000	626	5.83634e-10
660000000	600	5.59394e-10
690000000	575	5.36086e-10
720000000	538	5.0159e-10
750000000	481	4.48447e-10
780000000	513	4.78282e-10
810000000	457	4.26071e-10
840000000	479	4.46583e-10
870000000	481	4.48447e-10
900000000	418	3.89711e-10
930000000	413	3.85049e-10
960000000	391	3.64538e-10
990000000	358	3.33772e-10
1020000000	325	3.03005e-10
1050000000	356	3.31907e-10
1080000000	352	3.28178e-10
1110000000	322	3.00208e-10
1140000000	329	3.06734e-10
1170000000	296	2.75968e-10
1200000000	284	2.6478e-10
1230000000	276	2.57321e-10
1260000000	255	2.37742e-10
1290000000	270	2.51727e-10
1320000000	273	2.54524e-10
1350000000	248	2.31216e-10
1380000000	230	2.14434e-10
1410000000	234	2.18164e-10
1440000000	200	1.86465e-10
1470000000	240	2.23757e-10
1500000000	226	2.10705e-10
1530000000	161	1.50104e-10
1560000000	210	1.95788e-10
1590000000	188	1.75277e-10
1620000000	172	1.6036e-10
1650000000	167	1.55698e-10
1680000000	171	1.59427e-10
1710000000	172	1.6036e-10
1740000000	142	1.3239e-10
1770000000	152	1.41713e-10
1800000000	158	1.47307e-10
1830000000	145	1.35187e-10
1860000000	138	1.28661e-10
1890000000	146	1.36119e-10
1920000000	130	1.21202e-10
1950000000	128	1.19337e-10
1980000000	120	1.11879e-10
2010000000	100	9.32323e-11
2040000000	111	1.03488e-10
2070000000	117	1.09082e-10
2100000000	112	1.0442e-10
2130000000	94	8.76383e-11
2160000000	107	9.97585e-11
2190000000	79	7.36535e-11
2220000000	101	9.41646e-11
2250000000	92	8.57737e-11
2280000000	77	7.17888e-11
2310000000	93	8.6706e-11
2340000000	72	6.71272e-11
2370000000	75	6.99242e-11
2400000000	62	5.7804e-11
2430000000	63	5.87363e-11
2460000000	76	7.08565e-11
2490000000	50	4.66161e-11
2520000000	57	5.31424e-11
2550000000	46	4.28868e-11
2580000000	53	4.94131e-11
2610000000	47	4.38192e-11
2640000000	60	5.59394e-11
2670000000	48	4.47515e-11
2700000000	34	3.1699e-11
2730000000	44	4.10222e-11
2760000000	36	3.35636e-11
2790000000	48	4.47515e-11
2820000000	29	2.70374e-11
2850000000	43	4.00899e-11
2880000000	31	2.8902e-11
2910000000	41	3.82252e-11
2940000000	36	3.35636e-11
2970000000	31	2.8902e-11
3000000000	29	2.70374e-11
3030000000	37	3.44959e-11
3060000000	22	2.05111e-11
